Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-15568,1636,-1756,-27,46,414,-13160,2476,9956,712,-145,-198
20,-15416,1696,-1944,172,23,371,-13172,2448,9996,696,-167,-233
40,-15496,1656,-2044,72,-72,374,-13244,2484,9900,620,-169,-279
60,-15340,1772,-2044,-74,75,332,-13124,2644,9964,592,-162,-261
80,-15324,1684,-2144,-59,-108,152,-13188,2580,10164,531,-147,-253
100,-15492,1784,-2156,-180,-258,104,-13280,2604,9868,452,-376,-249
120,-15416,1824,-2164,-241,-103,169,-13160,2480,9732,362,-191,-277
140,-15368,1800,-2224,-230,-86,139,-13324,2488,10072,321,-196,-311
160,-15388,1732,-2116,-215,-237,-75,-13352,2604,10032,309,-425,-312
180,-15640,1852,-2140,-385,-384,-125,-13316,2620,9876,315,-521,-266
200,-15584,1792,-2104,-346,-266,10,-13096,2532,9968,324,-429,-268
220,-15428,1772,-1968,-273,-87,152,-13080,2592,9844,348,-183,-249
240,-15480,1780,-2152,-557,-171,264,-13144,2508,9892,309,-234,-365
260,-15312,1776,-1776,-399,-217,129,-13212,2468,9900,344,-268,-381
280,-15400,1764,-1904,-152,-334,-31,-13192,2464,9796,358,-404,-372
300,-15472,1908,-2184,-340,-184,103,-13108,2452,9908,342,-291,-390
320,-15496,1920,-2176,-481,49,154,-13304,2460,9936,310,-129,-385
340,-15420,1860,-1936,-299,46,22,-13324,2572,9884,318,-232,-394
360,-15488,1888,-2000,-166,-99,-19,-13212,2616,9888,298,-234,-393
380,-15512,1808,-2056,-44,-18,-52,-13236,2460,9996,279,-211,-357
400,-15648,1876,-2244,48,94,-25,-13192,2532,9868,265,-166,-314
420,-15508,1908,-2136,-218,194,73,-13168,2472,10076,283,-81,-322
440,-15548,1912,-2100,-371,139,83,-13228,2596,9920,279,-117,-285
460,-15524,1812,-2080,-334,97,76,-13152,2540,9908,272,-176,-258
480,-15616,1788,-2240,-234,52,16,-13308,2540,9952,234,-266,-220
500,-15564,1856,-2052,-346,-237,48,-13236,2504,9836,166,-396,-231
520,-15464,1776,-2256,-382,-105,6,-13092,2480,9896,201,-274,-235
540,-15360,1720,-2056,-429,-59,16,-13064,2452,9872,148,-185,-228
560,-15572,1724,-1868,-448,-120,39,-13328,2420,10112,176,-173,-225
580,-15456,1760,-1996,-320,-107,24,-13164,2524,9948,179,-256,-290
600,-15308,1788,-1916,-232,-101,-56,-13116,2520,9952,203,-218,-324
620,-15460,1712,-2000,-159,-200,-31,-13160,2500,9936,218,-266,-382
640,-15300,1784,-2140,-99,-156,-38,-13232,2424,9972,243,-287,-395
660,-15388,1844,-1908,-92,-93,-107,-13124,2548,9824,257,-302,-381
680,-15464,1776,-1920,-162,-227,-83,-13136,2592,10020,269,-284,-363
700,-15516,1808,-2112,-220,-139,6,-13032,2520,9828,232,-298,-399
720,-15244,1764,-1776,-68,-392,-68,-13032,2544,9944,208,-444,-440
740,-14688,1828,-1884,-232,-638,-213,-12904,2496,9708,176,-655,-615
760,-14624,1728,-1732,-202,-680,-484,-12664,2540,9544,52,-693,-800
780,-14512,1708,-1636,-144,-996,-740,-12912,2460,9476,-91,-1099,-1017
800,-14344,1800,-1812,-618,-1359,-1140,-12948,2456,9704,-286,-1801,-1296
820,-14096,2180,-1760,-2668,-1576,-1521,-13076,2268,9644,-491,-2358,-1528
840,-14216,2584,-2200,-8466,-1573,-1841,-13604,2372,9932,-858,-3595,-1700
860,-14724,2804,-3832,-18434,-1061,-1786,-13128,2340,9844,-1278,-5270,-1924
880,-14276,1468,-5216,-27885,1789,-2436,-13384,2444,9356,-1905,-3989,-1369
900,-15764,1140,-4560,-32768,2805,-3149,-12456,1884,10720,-2239,-2904,-1133
920,-16800,3732,-10096,-32768,5975,-1272,-13032,1932,11540,-2436,-2269,-1143
940,-17964,3472,-12952,-32768,10994,232,-14936,1984,11392,-2707,-2179,-129
960,-19512,-300,-6092,-32768,10904,-1688,-15528,1912,10324,-3161,-1883,1127
980,-20344,524,-5332,-32768,3606,-2718,-15448,1840,11932,-3089,-1178,2437
1000,-21592,1496,-6368,-32768,4936,1090,-15356,1836,12680,-2787,-599,3304
1020,-22072,724,500,-32768,5846,3053,-15768,1248,13848,-2089,1560,5391
1040,-23140,-912,3276,-32768,5368,4404,-15848,1432,13056,-1226,5505,7491
1060,-22976,940,320,-23695,3953,6432,-16264,3696,12704,-497,7420,9224
1080,-23300,536,-1084,-20861,-563,6622,-15252,3652,11936,-327,8445,10796
1100,-18812,772,-540,-16604,-4505,4516,-15268,2896,13128,643,8196,11957
1120,-16884,864,-1380,-13971,-6185,-379,-14424,3456,13404,1963,3614,12068
1140,-15636,836,-436,-12795,-5948,-4335,-13452,3732,11424,3131,-1228,12310
1160,-13536,-520,-308,-11741,-6461,-6110,-11260,4376,10132,3634,-3308,11534
1180,-12108,-2372,520,-7866,-7045,-7232,-10492,4360,9060,3408,-3893,11004
1200,-10956,-1240,-56,-4628,-6535,-7117,-9068,4192,8860,3317,-4551,9407
1220,-10132,-1372,872,-2076,-5868,-6223,-8116,4004,8596,3105,-3827,8058
1240,-9848,224,-2876,-1520,-4915,-5228,-9304,5104,6868,2374,-2587,6702
1260,-9688,484,996,-937,-3044,-3858,-8068,4836,8792,2336,-2817,5002
1280,-10036,12,972,-1143,-1293,-3213,-9256,5416,8056,2161,-2366,3279
1300,-11104,76,1180,-820,-715,-2769,-9224,5620,7764,1440,-1998,2063
1320,-11208,-20,1144,-119,-233,-1865,-9704,6088,7720,772,-1658,1078
1340,-11776,400,1408,-37,300,-1022,-9412,5960,8184,331,-1340,10
