Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,16544,744,2592,-115,-419,-784,15356,-6400,2296,336,-525,-350
20,17028,1172,2456,-135,-240,109,15148,-6472,2576,374,-227,-456
40,16576,1052,2624,-20,-331,351,15512,-6344,2444,371,-514,-324
60,16564,1128,2816,14,-80,-134,15448,-6360,2448,373,-505,-264
80,16552,1200,3000,-208,-130,-121,15204,-6492,2436,369,-521,-263
100,16612,972,2808,-183,-186,51,15292,-6516,2196,400,-484,-310
120,16564,1144,2712,-74,-124,-25,15196,-6252,2336,317,-253,-443
140,16680,1020,2796,-221,-47,-16,15224,-6480,2196,386,-270,-282
160,16512,884,2772,-260,-204,151,15176,-6288,2524,350,-431,-448
180,16320,736,2564,-132,-543,267,15260,-6448,2324,356,-1063,-400
200,16400,816,2568,-11,-914,118,15384,-6520,2184,355,-956,-411
220,16776,872,2592,-62,-615,-256,15088,-6524,2080,406,-645,-365
240,16940,1020,2560,143,-209,-132,15448,-6352,2112,482,-422,-364
260,16700,968,2540,213,-134,31,15328,-6508,2068,514,-386,-281
280,16668,1232,2856,127,-60,-51,15252,-6372,2104,468,-304,-267
300,16544,1120,2832,-94,-90,156,15040,-6420,2288,382,-370,-319
320,16276,976,2944,-106,-207,337,15204,-6388,2272,323,-435,-282
340,16268,936,2808,-117,-375,188,15268,-6480,2316,273,-361,-329
360,16288,996,2736,-286,-233,1,15120,-6600,2096,294,-121,-395
380,16216,608,2564,-305,-433,-53,15348,-6492,2368,282,-235,-494
400,16860,760,2228,-39,-370,-286,15268,-6532,2128,282,-128,-585
420,16948,912,2496,11,-187,-274,15368,-6556,2128,445,-162,-507
440,16872,772,2308,175,-152,-58,15416,-6428,2132,589,-308,-318
460,16672,1004,2724,266,-161,-34,15348,-6444,2316,564,-169,-354
480,16420,1144,2868,178,-7,-66,15240,-6400,2340,503,-95,-439
500,16324,1148,2996,35,-260,-9,15248,-6300,2392,423,-255,-449
520,16348,1176,2816,-267,-344,-193,15168,-6320,2296,283,-172,-405
540,16160,1228,2744,-241,-382,-171,15028,-6276,2352,207,-196,-371
560,16284,1156,2736,-227,-607,-172,15132,-6204,2512,108,-291,-548
580,16588,1224,2392,-470,-797,-256,15388,-6492,2444,90,-382,-588
600,17684,1360,2380,-371,-824,-66,15580,-6264,2228,77,-646,-397
620,18856,2076,3308,-1380,-856,1009,16200,-6332,2184,196,-1254,197
