Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,13348,9360,2280,-144,-168,115,14056,-2468,9852,278,-398,-281
20,13156,9360,2272,-198,-129,-10,13972,-2624,9708,341,-209,-254
40,13236,9440,2220,61,-34,-141,13892,-2608,9812,431,-178,-314
60,13264,9508,2232,79,-143,5,13928,-2508,9820,446,-330,-263
80,13296,9564,2296,117,-165,25,13996,-2472,9828,477,-329,-259
100,13388,9580,2244,98,-103,-52,13956,-2580,9812,461,-219,-223
120,13332,9676,2280,-99,-198,-14,13840,-2520,9828,431,-276,-256
140,13184,9552,2336,-23,-118,82,13968,-2616,9836,376,-357,-251
160,13168,9532,2340,36,-194,82,13744,-2556,9872,275,-407,-542
180,13036,9400,2316,-27,-269,81,13956,-2696,9900,308,-366,-461
200,13320,9432,2256,27,-229,-108,13884,-2588,9788,370,-241,-380
220,13420,9200,2192,-23,-213,-109,13976,-2648,9768,419,-214,-346
240,13480,9312,2244,157,-173,-24,13972,-2556,9780,432,-320,-346
260,13512,9548,2200,165,-266,117,14008,-2596,9912,452,-368,-331
280,13376,9692,2348,21,-319,141,13920,-2604,9684,401,-421,-290
300,13220,9492,2400,53,-217,131,13916,-2488,9968,363,-456,-317
320,13296,9516,2344,3,-225,103,13988,-2584,9936,303,-423,-331
340,13232,9508,2428,-69,-209,84,13916,-2544,9924,295,-289,-365
360,13092,9504,2436,33,-247,-3,13924,-2544,9976,302,-313,-396
380,13244,9504,2272,-10,-297,50,14016,-2504,9812,323,-376,-445
400,13376,9604,2248,-92,-210,6,14004,-2476,9704,290,-261,-453
420,13320,9432,2312,40,-149,38,14076,-2504,9820,340,-248,-414
440,13476,9508,2116,-13,-208,-63,14208,-2568,9844,458,-216,-199
460,13496,9668,2204,83,-159,-46,13924,-2544,9876,400,-257,-324
480,13192,9588,2388,61,-215,121,14004,-2584,9740,397,-426,-286
500,13356,9564,2100,-14,-182,68,13948,-2504,9816,373,-385,-359
520,13500,9596,2264,-34,-105,62,14048,-2532,9700,361,-288,-314
540,13344,9508,2132,-58,-199,129,14032,-2572,9740,440,-424,-277
560,13292,9396,2224,63,-138,12,13828,-2572,9640,460,-326,-354
580,13036,9392,2288,172,-263,184,13908,-2580,9628,513,-451,-334
600,12912,9164,2392,156,-376,152,13652,-2640,9804,539,-474,-437
620,13312,9188,2116,243,-358,-82,13860,-2556,9652,582,-448,-623
640,13376,9188,2228,178,-491,-60,14156,-2484,9700,645,-459,-551
660,13700,9560,2260,339,-604,-2,14320,-2632,9688,716,-546,-524
680,13816,9240,2372,330,-682,49,14592,-2920,9636,786,-725,-489
700,14120,8984,2556,284,-1102,-281,15116,-3096,9824,996,-940,-327
720,14964,9740,2724,907,-1685,243,15328,-3552,8948,1515,-1846,-158
740,13728,10352,3792,2117,-5041,2609,15120,-3408,8460,2196,-6180,502
760,16532,9156,560,7843,-14922,9741,18408,-3524,10764,2332,-19109,2699
780,26300,9180,-2824,16708,-20371,16844,21036,-4912,10764,2639,-30044,4718
800,29516,12032,-3564,21680,-20537,21129,20936,-5684,7516,4575,-32768,7981
820,26216,12812,-3312,19931,-16656,26975,19724,-5312,5320,6709,-32768,10730
840,26228,12052,-6064,20333,-9960,29975,21472,-4500,4856,7757,-32768,13497
860,24032,11000,-6600,19288,-381,28264,22720,-3400,3832,7307,-28010,14650
880,21172,9804,-5452,14486,6290,22239,21820,-3612,3984,6583,-18045,15372
900,16824,8100,-4876,12529,8977,17633,17444,-3592,4244,6063,-13274,17048
920,14120,8452,-1608,10854,9760,17489,15360,-3196,3636,5519,-12333,17871
940,10680,6264,-1428,9867,9672,17310,12012,-3616,3812,4290,-11147,16939
960,6344,4416,1116,6913,9538,13019,11788,-4112,3148,3586,-8339,15299
980,2504,1552,3604,3849,7582,8553,7344,-5344,3160,2660,-3538,13311
1000,1112,-396,4576,2310,2805,4618,3488,-5388,2864,954,-147,8257
1020,1908,-1080,5308,957,-2355,2673,5872,-5896,2112,-616,464,1231
1040,6044,-1688,1976,-310,-4708,884,7144,-7120,532,-562,-2028,-1865
1060,12740,-3008,-3672,-1347,-5689,-977,11340,-5752,-2408,-372,-4468,-5115
1080,18444,-3372,-7020,-2549,-4571,-1870,15556,-6188,-4792,-222,-494,-6271
1100,20240,-3920,-7672,-1842,-3690,-2253,16352,-7468,-3804,1262,-1231,-4405
