Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,16256,-6844,-2248,-31,226,-94,12364,-10312,-3700,442,205,-274
20,15680,-7020,-1984,-164,169,73,11644,-10184,-3596,510,-210,-346
40,15616,-6944,-1956,-26,-406,24,11876,-10264,-3460,474,-815,-463
60,16140,-6780,-1964,75,-468,-41,12664,-10064,-3976,352,-595,-404
80,16004,-6880,-2152,206,-82,-95,12440,-10156,-3960,379,-137,-269
100,15704,-6736,-2032,-144,-68,-2,12276,-10080,-3656,294,-209,-261
120,15852,-6848,-2196,-185,-372,44,11892,-10208,-3676,338,-641,-318
140,16024,-6864,-1984,15,-435,16,12620,-10220,-3884,332,-658,-331
160,16268,-6900,-2076,85,-244,-25,12496,-10200,-4032,321,-245,-292
180,16076,-6716,-2244,-17,32,23,12232,-10212,-3568,340,-4,-200
200,15848,-6828,-1984,-49,117,89,11936,-10268,-3740,344,-177,-208
220,15752,-6860,-1872,-164,7,132,12176,-10136,-3840,377,-407,-268
240,16080,-6816,-1980,-222,-251,110,12304,-10116,-3668,324,-362,-283
260,16012,-6764,-2004,-118,-332,-95,12652,-9988,-4060,171,-160,-206
280,16144,-6968,-2096,31,-117,-178,12088,-10324,-3824,231,89,-134
300,15808,-6884,-1964,-183,14,50,11904,-10312,-3600,340,-164,-166
320,15924,-6852,-1956,-345,-120,99,12124,-10268,-3748,265,-356,-281
340,16056,-6908,-2008,-147,-176,39,12384,-10156,-3828,278,-277,-232
360,15952,-6944,-1884,136,-179,-102,12268,-10240,-3956,268,-159,-196
380,15952,-6812,-1996,86,-161,-30,12104,-10312,-3628,300,-279,-226
400,15916,-6820,-2100,-79,-319,48,12248,-10284,-3752,348,-360,-279
420,16128,-6880,-2244,-162,-26,71,12208,-10348,-3948,392,-276,-304
440,15968,-6900,-2032,-141,47,17,12336,-10316,-3900,471,-185,-375
460,15684,-6960,-1980,-80,-374,-36,12200,-10108,-3572,435,-413,-449
480,16136,-6888,-1680,14,-571,-183,12460,-10132,-3800,397,-388,-418
500,16192,-6820,-2260,91,-97,-167,12500,-10280,-4056,421,83,-295
520,16072,-6628,-2168,-92,426,68,12060,-10184,-3912,436,374,-227
540,15708,-6960,-1944,-139,59,134,11684,-10216,-3556,486,-175,-343
560,15476,-6976,-1680,205,-730,-90,11728,-10212,-3424,344,-998,-458
580,16004,-6804,-1880,288,-958,-169,12476,-10096,-4032,165,-1065,-360
600,16604,-6548,-2720,-195,-218,173,12768,-10224,-4180,143,-250,-126
620,15736,-6904,-2188,-369,222,236,12404,-10316,-3812,217,58,-130
640,15644,-6932,-1820,-137,-149,-29,12036,-10192,-3568,335,-316,-329
660,15848,-6972,-1852,47,-594,-207,12364,-10140,-3840,380,-541,-386
680,16220,-6736,-2160,43,-255,-110,12572,-10240,-3968,348,-167,-310
700,16028,-6808,-2392,-135,171,152,11960,-10408,-3964,344,-82,-336
720,15656,-6808,-1784,-251,-130,173,12116,-10164,-3828,423,-433,-476
740,15948,-6948,-1824,-150,-471,-89,12464,-10192,-3772,383,-524,-474
760,16396,-6876,-1860,6,-406,-238,12536,-10164,-4016,330,-152,-321
780,16220,-6732,-2360,-10,71,-49,12272,-10096,-3708,276,134,-231
800,15804,-6988,-1860,101,-344,-82,11812,-10376,-3388,327,-440,-252
820,15796,-7084,-1684,271,-996,-186,11940,-10288,-3372,276,-1001,-285
840,15876,-6820,-1736,743,-1699,-286,11528,-10328,-3076,346,-2049,-319
860,16024,-7220,-724,1872,-3481,-284,11636,-10056,-2228,614,-4038,-281
880,16132,-7112,152,3754,-6311,-1122,12600,-9400,-2348,-73,-5491,-37
900,15636,-6828,2328,6338,-11524,-2189,11700,-9692,-984,-1674,-7130,933
920,14676,-4996,840,7739,-17212,-2033,11100,-9700,292,-4191,-11017,2242
940,14612,-6516,1248,13039,-24657,-2687,10668,-9476,248,-5814,-15544,3115
960,15400,-5700,-1448,32258,-30057,-6249,12604,-6248,292,-8026,-13796,2595
980,15604,-3336,-1404,32767,-26790,-6565,12284,-7212,-1496,-11903,-11719,4173
1000,16656,-152,292,32767,-18053,-5630,10196,-7372,-3160,-14458,-10641,4817
1020,14612,-1732,-1928,32767,-9811,-4738,9028,-7196,-4660,-15951,-11648,5545
1040,12848,-2084,-4004,32767,-4829,-4710,8016,-7356,-5748,-16612,-13125,5431
1060,11096,-6236,-6376,32767,-2221,-4262,8304,-7056,-9508,-16946,-13106,4311
1080,10740,-6900,-5292,32767,245,-5774,7708,-6540,-11588,-18336,-6277,1972
1100,11564,-7160,-2300,32767,510,-6371,7324,-10052,-13300,-14392,-7355,4034
1120,11328,-6132,1836,32767,-2391,-3935,7568,-8244,-12572,-14685,-4462,913
1140,8528,-10248,-1416,32767,-4871,-6942,7704,-9680,-13976,-14016,-738,-609
1160,6200,-9652,-2708,32767,-8967,-13012,9056,-8484,-14380,-12993,3010,-2755
1180,11476,-2688,68,32767,-14984,-12646,6392,-7652,-15088,-12081,5330,-5261
1200,14676,144,4744,32767,-25573,1776,6480,-6620,-14400,-11547,3877,-7127
1220,10352,-604,6936,17683,-32768,22657,7172,-8168,-15124,-10553,-1724,-8750
1240,2356,-8924,1752,12820,-32768,32767,8820,-9892,-13140,-9707,-5316,-11402
1260,17092,-13500,-5136,18330,-32768,30764,4740,-8292,-6216,-12295,2162,-17971
1280,28360,-11712,-7100,15707,-32768,24020,732,-3952,-9280,-10632,2625,-19940
1300,21396,-15996,-10612,13838,-17499,32767,9744,-472,-22460,-7708,-6328,-18438
1320,16720,-14232,-8112,11692,-14211,32767,16804,1416,-23268,-6969,982,-17310
1340,13668,-25228,-10516,-1523,-22315,15649,17880,-632,-22764,-2313,7585,-12864
1360,27664,-32768,-16480,-7798,-18486,-759,15800,788,-20244,920,14729,-11287
1380,29196,-32768,-18972,1001,-531,-3289,13088,1464,-18456,7413,1839,-4361
1400,20204,-22388,-17008,4816,10420,-7654,18172,628,-19332,10611,-4207,1954
1420,17304,-10484,-14344,-892,9715,-13127,16604,-1020,-21144,12657,258,5726
1440,16504,-12816,-11824,-11823,11798,-16676,14972,-728,-18996,14835,7900,9926
1460,20708,-23844,-11080,-11874,15187,-19423,11564,-1228,-13224,16620,7155,11695
1480,20548,-24808,-10376,-3744,24524,-19779,9384,-1620,-12332,18559,-876,11663
1500,11012,-17624,-9048,176,29701,-20303,10860,-2908,-15104,20282,-4102,12107
1520,9596,-6992,-6268,-2863,24855,-17719,10692,-3600,-14904,20992,-1929,11414
1540,9320,-5176,-4072,-9482,22262,-16190,8964,-3828,-10540,20545,3067,11157
1560,11632,-6704,-3352,-15041,23140,-15995,6224,-3896,-6740,19400,6252,10040
1580,12588,-8432,-3468,-15416,28496,-15495,4000,-3976,-3868,17548,5515,8096
1600,5936,-6024,-3348,-13042,32637,-13723,4780,-3968,-3736,14348,2539,6371
1620,5224,208,-1344,-13448,30486,-9036,5224,-5384,-7768,12167,2832,3816
1640,5900,2328,288,-18967,27229,-5520,5640,-5836,-6908,10788,7422,1862
1660,7056,820,2960,-29355,24607,-4428,5568,-5416,-3208,9192,7726,1068
1680,7552,-6304,3412,-32768,21260,-7724,7684,-4564,-768,6287,4039,-442
1700,8624,-5956,1256,-32768,18985,-7552,7760,-5908,-4732,2852,5263,-1098
1720,9836,-1288,1124,-32768,13592,182,7592,-9216,-9572,2888,9744,-1827
1740,10664,-5636,408,-32768,10890,-284,8664,-9128,-5452,4256,12110,-2397
1760,10720,-9524,-1824,-32768,12754,-4904,10412,-7772,-3528,2253,8531,-2846
1780,8648,-10684,-3160,-32768,7045,2516,12848,-9152,-6220,1708,5795,-2396
