Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,7404,2680,16180,-241,46,-503,6052,1572,14972,-597,0,-119
20,7292,2604,16280,-174,44,-529,6020,1492,14816,-570,-27,-110
40,7388,2724,16204,-200,-3,-603,5992,1532,15012,-541,-73,-126
60,7448,2712,16156,-243,16,-551,6044,1540,14884,-552,-27,-134
80,7464,2832,16252,-252,-19,-541,5992,1508,14812,-626,-282,-138
100,7300,2744,16280,-276,-71,-535,5984,1628,15060,-654,-365,-110
120,7292,2768,16288,-337,-147,-566,6096,1616,14836,-665,-530,-168
140,7508,2928,16104,-352,-175,-581,6116,1468,14928,-626,-836,-167
160,7488,2616,16196,-346,-7,-622,6360,1552,14884,-575,-665,-193
180,7336,2752,16292,-392,19,-633,6080,1560,15016,-547,-732,-158
200,7168,2556,16324,-329,-130,-541,5876,1568,15052,-717,-1054,-172
220,7244,2784,16400,-308,-403,-620,5888,1564,15064,-958,-2068,-193
240,7304,2744,16232,-222,-597,-571,6316,1444,14900,-1057,-2480,-180
260,7668,2900,16452,-207,-635,-486,7128,1564,14900,-577,-1295,-93
280,7988,2768,15960,-121,-260,-594,6728,1512,14648,-536,-527,42
300,7400,2624,16440,-72,-388,-613,5984,1416,15032,-543,-739,58
320,6656,2012,16740,341,-1082,-395,5404,1524,15372,-711,-1700,89
340,6224,1984,17560,576,-2323,-506,5996,1388,15872,-407,-2556,-7
360,7440,2520,17616,1981,-2913,-619,7192,1152,15816,-715,-447,211
380,9200,3088,17968,3166,-5824,-450,6668,1016,16128,-1121,-567,139
400,10580,4196,17984,4650,-9890,672,7368,1524,16276,-940,-1683,1258
420,10504,5428,21656,4408,-18676,4481,7216,1808,16924,-923,-4716,3920
440,16260,8168,24460,1591,-28218,5703,11524,4712,18336,-5581,-8825,4806
460,19764,10240,27180,-6256,-32670,8084,12000,3300,19484,-12150,-20153,7311
480,15208,3788,17312,-10998,-32768,15240,15040,640,17532,-17304,-25639,10716
500,12500,36,8892,-6268,-32768,14327,10892,-2156,16544,-17825,-32768,12186
520,10624,-4216,180,9835,-32768,10649,10148,-3732,11604,-14620,-32768,14780
540,9664,-4048,-6688,31021,-32768,7358,10372,-4332,5196,-7935,-32768,16062
560,17820,1808,-7264,32767,-32768,6003,14768,-4492,-52,-1044,-32768,17112
580,22828,6404,-4792,32767,-32768,9464,18976,-5752,-1156,2749,-32768,16901
600,15136,-152,-3496,29494,-29268,8210,16764,-5060,1284,5950,-32768,14803
620,8632,-4916,-4744,32767,-21488,3242,11800,-6044,2280,8960,-26772,11628
640,8916,-220,-900,32767,-20469,2018,10008,-5264,2096,10923,-26076,7332
660,13352,3648,2884,23902,-22048,-51,12960,-4892,2388,10837,-25329,4836
680,17936,1452,2548,19301,-16153,802,14648,-5396,5412,9738,-21148,3079
700,19172,1340,1320,15740,-12576,593,17840,-5456,4668,7036,-14115,1845
720,18568,1676,-472,13041,-9522,-151,17548,-4844,3636,6680,-10671,1306
740,17896,2416,-1428,9841,-5654,-1242,16932,-3536,1536,5941,-8612,198
760,17684,2396,-1468,5081,-1589,-826,17436,-3464,1104,4206,-3129,620
780,14932,848,-3080,2200,605,-1155,15720,-3820,-132,2621,-179,264
800,14236,-4,-4632,2222,-1163,-1018,14824,-3920,-1080,1807,-2135,7
820,14804,232,-5536,2341,-2517,-369,15776,-3668,-1748,1374,-3231,-50
840,15600,-24,-5724,1168,-1049,-169,16132,-4200,-1852,1010,-1222,-43
860,15496,-804,-5712,50,715,-312,16240,-4972,-1772,576,1030,10
880,14292,-1324,-4964,-692,2077,-1057,14984,-5324,-1388,407,2364,-371
900,12448,-1740,-4524,-428,1291,-1678,13780,-5044,-1328,158,1126,-820
920,14288,-1664,-4748,100,-1568,-1920,15072,-5440,-784,90,-1694,-1167
940,17568,-1040,-5984,12,-1699,-1297,17132,-5624,-1364,-197,-1886,-609
960,17816,-1432,-6188,-679,487,-332,17660,-6132,-1556,-347,503,146
980,16976,-2444,-5868,-502,2112,-122,16736,-6548,-584,-88,1826,694
1000,16388,-2656,-4636,476,1959,-184,16024,-6648,-68,-124,1478,939
1020,15104,-1940,-3800,456,461,483,14888,-6276,-736,-704,152,1082
1040,14092,-1876,-4312,-389,-379,959,14660,-5948,-1624,-1200,-334,889
1060,13868,-2104,-5348,-1210,179,406,15100,-5860,-1696,-1171,115,494
1080,15228,-2176,-5368,-1050,616,-298,15876,-6064,-1112,-824,674,144
1100,15316,-1800,-4868,-733,437,-534,15764,-5944,-496,-789,525,-109
