Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,5832,2624,14052,-96,-203,38,1028,676,17588,344,-286,-320
20,5704,2616,14060,-63,-209,28,1128,676,17376,308,-341,-318
40,5692,2600,13996,-36,-199,-10,1072,780,17440,327,-285,-317
60,5820,2732,13896,-49,-188,-8,1120,744,17588,343,-215,-310
80,5784,2588,14076,-123,-206,2,1136,636,17580,304,-204,-304
100,5824,2616,13820,-107,-215,11,1028,640,17488,342,-239,-313
120,5796,2628,13928,-40,-149,-9,988,680,17424,381,-226,-324
140,5908,2720,13984,-88,-158,-2,1024,716,17440,391,-186,-288
160,5656,2576,13912,-140,-213,16,1060,692,17520,395,-313,-272
180,5820,2660,13748,-71,-188,21,1120,760,17468,401,-343,-277
200,5816,2584,14036,-54,-172,10,1084,692,17468,392,-287,-264
220,5760,2632,13880,-35,-207,-8,1060,676,17548,387,-300,-292
240,5856,2732,13904,-126,-231,7,1080,720,17548,372,-151,-281
260,5844,2696,13860,-87,-235,2,1108,672,17648,399,-164,-259
280,5728,2672,13828,-28,-212,-15,1120,692,17424,447,-242,-267
300,5732,2660,13976,-122,-226,11,988,720,17540,470,-262,-255
320,5904,2716,13836,-140,-202,16,1144,784,17468,523,-103,-237
340,5808,2712,13964,-58,-184,-47,1148,748,17748,569,-62,-244
360,5796,2972,13972,60,137,-154,960,716,17488,627,24,-212
380,5700,2372,13576,24,-243,-14,744,696,17616,693,-86,-221
400,5532,2676,14192,-38,-400,6,1800,720,17408,748,-502,-343
420,5588,2588,13784,-81,-406,88,1056,752,17312,689,-478,-207
440,6364,2792,13800,6,-205,39,1352,964,17680,664,-192,-164
460,5384,2472,13380,-79,-329,42,1168,924,17532,494,91,-204
480,5916,2620,14456,167,-398,79,852,892,17632,544,-63,-148
500,5448,2744,14136,303,-494,105,980,832,17608,623,-702,-267
520,6284,2932,14232,613,-875,153,1168,1208,17844,591,-918,-182
540,5988,3612,14044,627,-1662,445,704,1444,18492,666,-1432,42
560,6328,3140,13792,1887,-1726,42,1472,1424,18432,611,-2509,191
580,7004,3312,14020,2193,-2072,31,2792,1720,19056,279,-2587,389
600,6924,4244,13188,3764,-4809,-2368,3296,3172,20048,119,-8352,1784
620,11536,4568,15016,4237,-5441,-673,1868,3556,19868,-803,-4660,2101
640,9224,6476,13548,3497,-5327,-1616,6984,3700,17744,-1193,-3792,2402
660,9000,6408,14324,3477,-3034,1762,2720,2468,17872,-1966,-1060,3237
680,10212,6120,14028,-1314,-1727,5836,2700,2588,18548,-2549,-40,3698
700,6124,2820,10944,3955,-4175,8004,-884,4604,21148,-4040,-9582,4923
720,10876,5936,14832,9245,-19043,7131,3612,2336,18512,-3145,-15800,6853
740,13164,8320,13736,9568,-24213,10619,4968,1212,18632,-2885,-21090,8767
760,13636,6432,12412,6421,-22878,13690,6668,692,18340,-3285,-19692,9548
780,13300,5072,12336,5626,-20676,14047,6820,-388,18092,-3611,-18748,10038
800,13248,2528,11776,7540,-18567,12693,7360,-816,17808,-3629,-19815,10492
820,12892,2496,10528,14163,-18333,11139,7424,-1416,16984,-3452,-21042,10799
840,13136,3968,8292,18218,-20063,10872,6844,-2216,16012,-2664,-23406,11222
860,13836,4068,6984,19933,-21528,12103,8268,-2344,14700,-1571,-26014,11338
880,15172,3580,6320,22505,-21621,13063,8836,-2488,13972,-914,-27080,11900
900,14468,5236,7620,23167,-21525,15262,7776,-3468,13716,-559,-27821,12319
920,14184,4568,8072,20988,-23394,16833,9324,-3952,12832,-255,-28649,12250
940,14808,4532,8184,19131,-22773,16095,10492,-4340,12548,-179,-27034,11674
960,15796,4708,7344,18239,-18710,14624,11980,-4192,12288,-572,-22801,11510
980,15540,4764,6192,15501,-12455,13126,11292,-4528,12020,-1101,-18905,10980
1000,14548,3492,5616,12352,-8189,11849,11360,-5048,11604,-1544,-15887,10231
1020,15492,3836,4816,12339,-6417,10859,11196,-4988,11260,-1686,-13569,9792
1040,15236,2956,4712,11560,-4922,10215,12088,-5152,11124,-2025,-11348,9082
1060,15524,3028,3992,10398,-3923,8138,12600,-5380,10096,-2285,-9293,8349
