Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,7672,3084,12960,-14,-185,-28,5200,2524,16600,275,-325,-237
20,7620,3016,13072,-56,-260,20,5464,2388,16664,319,-359,-262
40,7800,3092,13012,-50,-255,9,5368,2564,16676,353,-362,-232
60,7880,3100,12980,-42,-199,-14,5304,2428,16576,345,-271,-254
80,7644,3116,13048,-42,-184,23,5344,2452,16616,323,-296,-247
100,7680,3116,13168,-144,-277,50,5336,2456,16452,346,-310,-260
120,7792,3196,12880,-116,-238,33,5260,2408,16596,323,-345,-241
140,7660,3116,13108,-29,-254,-2,5364,2476,16416,291,-412,-244
160,7760,3140,13100,-9,-273,0,5300,2484,16424,293,-385,-252
180,7808,2992,13132,-170,-254,47,5396,2384,16568,296,-304,-306
200,7628,3164,13092,-145,-225,26,5340,2504,16480,292,-337,-269
220,7708,3064,12956,-27,-182,-6,5304,2508,16560,301,-281,-297
240,7632,3168,13092,-28,-231,-23,5368,2444,16476,310,-316,-306
260,7740,3068,12940,-157,-277,7,5412,2432,16632,317,-322,-296
280,7720,3200,12940,-94,-264,8,5372,2388,16556,291,-337,-298
300,7752,3104,13040,-51,-233,-15,5324,2512,16616,299,-352,-291
320,7652,3048,12996,-30,-259,-33,5348,2428,16668,291,-390,-266
340,7720,3092,13084,-135,-251,6,5380,2356,16536,303,-289,-268
360,7768,3072,13072,-116,-224,18,5332,2476,16504,333,-283,-243
380,7608,3116,13024,-7,-219,-33,5228,2488,16504,343,-331,-254
400,7788,3080,12900,-89,-196,-38,5392,2572,16516,322,-285,-312
420,7724,3164,13072,-198,-157,-23,5460,2464,16392,359,-185,-304
440,7652,3048,13028,-95,-204,15,5324,2544,16564,369,-255,-325
460,7780,3064,13092,-26,-259,35,5244,2408,16568,337,-326,-280
480,7804,3060,13024,-61,-238,-2,5460,2316,16496,342,-334,-292
500,7768,3240,13096,-91,-183,-24,5396,2504,16552,373,-215,-323
520,7888,3324,13152,-142,-264,28,5436,2668,16704,338,-344,-282
540,7480,2936,13248,-41,-481,156,5080,2288,16888,238,-737,-219
560,7716,3072,13236,443,-868,163,5012,2340,16808,652,-964,-138
580,7712,2836,13680,520,-1459,1082,4312,2404,17300,1026,-1858,121
600,7124,3432,14132,621,-3463,1837,4828,2756,17356,1376,-3196,593
620,7808,4332,13200,669,-5215,2286,5976,3628,17116,1316,-3663,1336
640,8840,4556,12812,1234,-8265,3310,5724,3544,16532,1191,-5325,2028
660,8940,4816,12752,1717,-13578,3269,6588,4124,17300,1266,-8523,3131
680,14288,4968,12600,3272,-17910,4634,9200,5152,18228,908,-14161,5332
700,16860,6092,12252,4770,-18823,5726,10760,4648,17772,-301,-15903,7191
720,17592,6876,13304,3260,-16288,7218,12692,4180,16060,-1479,-13426,8829
740,17512,5028,11352,2002,-13318,6916,13792,3624,16076,-2254,-11275,9342
760,16636,3596,9568,2778,-5102,6008,12828,2388,16216,-2851,-9231,9775
780,16556,3084,9540,6115,-6723,6151,11876,2232,14684,-2808,-9684,10811
800,13968,4420,7584,7324,-10499,8802,10664,464,13140,-1785,-12509,12380
820,13128,2480,6040,9810,-16241,9946,11064,-568,14752,415,-17552,13970
840,15424,2664,4772,16794,-22471,9745,12008,440,14620,2255,-21740,16382
860,17692,3372,2968,23922,-24368,8546,13408,-488,13280,4646,-25954,18737
880,18704,4536,2284,30353,-25063,9941,11348,-1932,10628,7057,-29336,20970
900,19096,5420,1460,32461,-27134,14985,13360,-2636,7976,9889,-32768,22774
920,18940,5372,1608,32767,-26947,17578,15976,-2768,8176,12261,-32768,23380
940,19612,6016,12,32767,-23986,16956,18008,-2252,8152,13949,-32077,23411
960,19852,8156,-516,32767,-17374,17002,16908,-2188,7672,15160,-29711,23584
980,19632,7272,984,32767,-11959,15214,17480,-2708,7484,16094,-25557,22794
1000,18580,6628,1564,32390,-5849,13224,17604,-2548,7336,16180,-20940,21493
1020,18164,7128,744,29401,-1643,11830,17860,-2356,7160,15757,-17663,20243
1040,17956,6748,900,27099,501,11665,16832,-3516,6644,15412,-15390,18989
1060,17440,5756,828,25537,1517,12676,15808,-4180,6992,15457,-12985,18456
1080,15876,4680,1236,23684,1665,12400,14808,-4348,7244,15134,-11902,17847
1100,14244,3660,2432,23030,1671,11442,13112,-5136,7560,14781,-11255,16650
1120,13080,2332,5232,22053,1692,11510,10220,-6020,8272,13881,-10517,15072
