Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,536,2856,17592,-272,14,-576,-2188,-1212,15672,-407,22,-138
20,584,2856,17748,-268,20,-558,-2276,-1372,15580,-386,10,-150
40,584,2728,17756,-266,7,-581,-2228,-1192,15524,-420,-1,-157
60,516,2796,17720,-260,-11,-583,-2316,-1196,15564,-451,-78,-155
80,608,2792,17620,-266,-15,-580,-2352,-1204,15708,-460,-35,-164
100,524,2920,17740,-278,-5,-561,-2080,-1256,15472,-434,-3,-132
120,544,2832,17656,-261,12,-542,-2244,-1256,15472,-458,24,-122
140,576,2820,17680,-238,15,-506,-2244,-1192,15684,-428,30,-69
160,624,2852,17656,-259,12,-496,-2280,-1300,15468,-361,71,-33
180,520,2840,17756,-239,-14,-473,-2280,-1260,15652,-246,130,-59
200,616,2860,17732,-208,11,-454,-2204,-1252,15652,-238,68,-60
220,536,2892,17632,-223,-23,-469,-2300,-1068,15672,-260,45,-80
240,564,2852,17608,-240,-7,-540,-2352,-1176,15740,-312,32,-141
260,608,2900,17664,-297,30,-541,-2356,-1068,15556,-361,-12,-142
280,592,2872,17688,-309,25,-585,-2244,-1128,15548,-468,-19,-159
300,568,2880,17676,-308,50,-575,-2312,-1140,15556,-488,-13,-174
320,344,2760,17640,-332,4,-589,-2324,-1112,15576,-495,-17,-151
340,536,2808,17620,-328,-56,-563,-2284,-1076,15556,-557,-156,-177
360,644,2960,17664,-323,-58,-508,-2096,-1076,15632,-648,-127,-94
380,932,2868,17608,-370,162,-474,-1716,-1068,15764,-674,496,-2
400,1120,3068,17744,-485,652,-561,-1816,-1148,15568,-802,1356,77
420,876,3068,18228,-323,1428,-728,-1468,-948,15860,-1025,2551,249
440,1600,2588,19536,1298,1794,-471,-900,-704,16208,-1463,4796,466
460,1908,2416,21012,4121,4891,-297,-1532,-744,16408,-1664,7558,1079
480,2184,1656,25644,9395,10499,-1857,-4916,-3536,16268,-715,8574,2297
500,-1480,-56,26948,13935,19160,-2985,-5364,-5856,17336,2737,9531,3382
520,-6288,-1812,29776,20573,16452,-6077,-7676,-6424,21192,6155,20859,6193
540,-9140,5928,27088,21802,29168,-15292,-27816,-6096,22192,8199,30775,11107
