Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-14208,3904,788,-411,66,25,-14280,5676,5288,450,-27,-659
20,-15232,3920,1032,-430,-23,-179,-15132,5736,5360,489,-403,-467
40,-15816,3792,960,-355,-519,-572,-15556,5492,5496,616,-1345,-67
60,-15312,4212,696,-263,-858,-72,-13940,5592,4124,546,-786,-147
80,-13568,4068,264,316,-424,294,-13472,5612,4888,383,-24,-367
100,-14312,3900,868,107,79,177,-14400,5368,5248,348,27,-479
120,-15384,3772,804,-67,-37,-4,-15312,5500,5380,362,-461,-313
140,-15872,4088,1072,47,-465,-308,-14856,5640,5052,456,-789,-134
160,-14556,4184,672,31,-526,109,-13828,5832,5204,405,-311,-297
180,-13696,4028,148,-330,312,188,-14032,5748,5528,352,132,-484
200,-15028,3876,1440,250,431,-96,-14840,5676,5172,284,-61,-603
220,-15836,3772,372,40,-306,-310,-15676,5560,5512,390,-716,-160
240,-15220,4312,620,-19,-738,-202,-13884,5832,4528,393,-606,-148
260,-13824,4072,160,156,-43,427,-13552,5680,4952,294,227,-375
280,-13968,4028,684,-263,581,402,-14264,5496,5388,174,271,-508
300,-15492,3868,720,-476,328,55,-15524,5484,5376,235,-421,-354
320,-16092,3836,980,-388,-389,-261,-15180,5496,5596,424,-859,-111
340,-15084,4180,672,-26,-695,100,-13812,5636,4924,469,-426,-236
360,-13736,4032,568,-66,-111,237,-14108,5664,5340,379,-108,-351
380,-14996,3856,632,-391,-33,-30,-15032,5340,5572,348,-481,-335
400,-15752,3752,836,-346,-470,-366,-15272,5452,5732,507,-1458,-111
420,-15032,4176,1032,-439,-865,-261,-13816,5740,4108,641,-1173,-116
440,-13460,4196,184,175,60,531,-13236,5608,4512,250,451,-527
460,-13792,3900,592,-47,858,622,-14136,5272,5280,70,389,-856
480,-14880,3312,1620,-467,1128,444,-14956,5240,5676,67,-519,-880
500,-15684,3696,560,-928,562,426,-15012,5212,5884,307,-1935,-730
520,-14732,3700,1004,-1147,613,411,-14760,5328,5528,560,-2666,-705
540,-13900,4048,480,-1572,2062,917,-13652,5620,4544,453,-503,-900
560,-13928,4148,1160,-2443,4194,1722,-13784,5660,4392,-246,-52,-1177
580,-14412,3680,1536,-3884,6151,3588,-13088,5440,5224,-737,475,-1595
600,-13620,3508,812,-5025,7405,4804,-13552,5136,6680,-643,22,-1872
620,-13820,3248,424,-6632,6312,4135,-13692,4816,7736,256,-2372,-2213
640,-14856,3444,776,-8758,2812,2398,-14940,4864,6036,616,-4527,-2287
660,-15292,1944,3532,-13307,-4062,251,-14776,5292,6432,882,-8436,-2924
680,-13424,812,4928,-13065,-10397,-1461,-13008,5020,6340,1142,-9559,-3875
700,-7092,392,6612,-8234,-4527,-765,-11056,5524,3440,608,-5906,-4445
720,-8488,2436,1340,-866,2615,2222,-10532,5608,3868,-860,-1654,-6135
740,-8108,3332,-1628,-4197,4642,1574,-12764,4784,4620,-2238,-768,-7016
760,-11732,3252,-2556,-7280,5008,-1075,-12644,2872,5932,-2385,-3180,-7990
