Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-16712,116,-1268,1158,-586,-496,-14580,716,10152,1033,-1127,-339
20,-16668,940,-1820,931,-1975,-1198,-13860,752,9852,1289,-1884,-221
40,-14768,800,-1812,722,-1843,-1229,-13320,1020,9324,1229,-2150,-3
60,-14328,1200,-1956,332,-950,-624,-12604,1132,8812,789,-947,-369
80,-14412,1080,-1984,270,253,91,-13132,864,9124,439,-60,-497
100,-16440,880,-1792,120,211,267,-13956,572,9648,243,214,-296
120,-16936,396,-1508,165,-681,-123,-14492,540,10272,280,-430,-27
140,-15816,452,-1520,72,-1451,-536,-13940,916,10064,355,-1100,60
160,-14740,372,-1280,-1,-1096,-458,-12804,1112,9616,300,-1027,-3
180,-14120,356,-1336,371,104,-20,-12796,1128,9232,5,-263,-233
200,-15848,600,-1636,360,488,236,-13504,868,9852,-71,-40,-280
220,-17192,480,-1500,288,-248,-44,-14700,580,10404,129,-295,51
240,-17004,240,-1284,22,-1456,-1069,-14508,516,10648,546,-1559,313
260,-15380,48,-1232,-433,-2007,-1631,-13548,916,10004,848,-2109,351
280,-14344,180,-1280,-44,-1286,-1523,-12584,964,9096,748,-1771,59
300,-14672,752,-1536,90,-376,-480,-12424,880,9140,367,-587,-249
320,-15544,612,-2040,-70,194,335,-13536,440,9504,126,133,-286
340,-15992,408,-1916,-40,215,214,-14092,440,9956,83,18,-266
360,-16212,344,-1832,-142,-263,-440,-14056,540,10116,220,-494,-150
380,-15496,108,-1448,-199,-722,-432,-13188,760,9772,257,-780,-187
400,-14896,36,-1344,36,-321,77,-12508,768,9544,114,-439,-424
420,-15096,-324,-1264,280,270,602,-13064,808,9696,46,148,-575
440,-16060,164,-1260,441,237,677,-13696,616,10108,148,115,-605
460,-16260,396,-1676,269,-69,102,-14536,780,10460,373,-359,-425
480,-16340,516,-1360,52,-660,-722,-14056,736,9980,549,-1165,-111
500,-15268,476,-1380,54,-833,-796,-13356,864,9540,547,-1032,-103
520,-14948,556,-1548,-156,-507,-340,-12848,696,9320,382,-407,-263
540,-15052,184,-1404,100,101,285,-12776,544,9476,281,141,-371
560,-15620,-40,-1556,178,177,487,-13608,548,10236,212,415,-481
580,-16368,-164,-1352,348,41,63,-14068,464,10280,337,-260,-385
600,-16348,264,-1632,327,-582,-367,-13804,652,10336,508,-727,-326
620,-15452,324,-1348,-5,-844,-110,-13264,940,9832,508,-637,-204
640,-14952,352,-1456,-147,-486,155,-12980,1000,9820,281,-262,-339
660,-15204,160,-1456,-127,40,142,-13608,712,9992,303,-79,-373
680,-16328,44,-1208,50,-117,-246,-14120,680,10156,292,-613,-202
700,-16232,332,-1384,162,-640,-442,-13580,784,9932,391,-756,-116
720,-15532,452,-1516,122,-841,-190,-12828,896,9764,448,-451,-154
740,-14896,272,-1372,-292,-454,249,-12780,856,9672,390,-142,-205
760,-15016,64,-1252,-475,94,153,-13536,1052,10036,318,-119,-229
780,-16384,348,-1000,-188,-17,-411,-14300,1128,10368,375,-293,-5
800,-17780,1060,-852,-505,-540,-1175,-14968,1736,10948,415,12,457
820,-21200,2164,-720,-2052,-496,-370,-16204,3040,11524,504,1847,1432
840,-26624,3176,-308,-4694,-148,3018,-18580,3168,13044,1070,2848,3183
860,-29812,3648,-3584,-16861,-3399,3224,-22840,2948,17180,2522,3113,7086
880,-32768,6036,-3716,-31571,-4161,7077,-22940,4248,18012,4237,3119,11740
900,-32768,-1236,-896,-32768,-6819,10318,-24304,5552,23180,5616,-1580,18748
920,-32768,-12656,3040,-32768,-14955,4531,-20196,3240,23612,7397,-11486,20840
940,-27088,-15192,1468,-27176,-14867,-7673,-19268,3800,23904,9913,-12552,21392
960,-28928,3644,-2428,-19041,-17204,-17000,-17180,-16,20180,16945,-32768,21077
980,-18880,4488,-2344,-26650,-13556,-6073,-10468,2584,12496,18909,-26961,24280
