Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,16248,-5924,248,16,-180,-80,13516,-8440,-3944,321,-229,-340
20,16296,-5868,160,42,-32,-40,13360,-8544,-4012,310,-312,-362
40,16212,-5724,132,126,-206,-77,13508,-8516,-4224,341,-271,-378
60,16280,-5740,524,-136,-200,-39,13508,-8412,-3800,341,-164,-366
80,16296,-5920,84,-93,-106,-65,13504,-8408,-3844,329,-225,-355
100,16220,-5812,148,122,-98,-76,13528,-8440,-4032,327,-205,-370
120,16292,-5888,216,7,-139,-59,13416,-8572,-4040,363,-277,-372
140,16204,-5916,184,-85,-337,20,13548,-8576,-4244,343,-356,-354
160,16332,-5632,408,-46,-326,-19,13592,-8496,-4108,376,-261,-337
180,16508,-5796,308,-42,-54,-52,13756,-8440,-3820,334,-171,-297
200,16184,-5800,388,-9,148,-21,13488,-8448,-4092,306,-144,-318
220,16312,-5884,348,-3,64,-4,13400,-8568,-4204,334,-116,-308
240,16024,-5788,324,-10,-2,-87,13488,-8408,-4076,368,-130,-362
260,16108,-5816,332,30,-234,-164,13384,-8360,-3920,384,-240,-398
280,16296,-5928,348,-127,-244,-32,13672,-8452,-3912,390,-337,-381
300,16404,-5620,152,10,-252,-30,13656,-8400,-4084,391,-288,-391
320,16372,-5812,412,50,-7,-90,13628,-8480,-3952,389,-202,-356
340,16172,-5776,400,0,-87,-78,13372,-8456,-3992,367,-186,-346
360,16292,-5676,344,31,-107,-58,13400,-8536,-3932,364,-203,-310
380,16144,-5840,228,43,-219,-60,13504,-8332,-4008,367,-307,-322
400,16184,-5808,280,85,-110,17,13512,-8520,-4068,340,-348,-340
420,16280,-5808,444,35,-187,24,13628,-8448,-3868,320,-192,-283
440,16236,-5768,392,-92,-141,-12,13580,-8508,-4208,344,-273,-348
460,16132,-5772,408,-1,-98,-38,13420,-8432,-3908,331,-280,-352
480,16280,-5716,400,-46,-184,-39,13548,-8372,-3952,332,-325,-371
500,16372,-5784,380,-208,-182,-39,13604,-8420,-3856,343,-217,-367
520,16492,-5644,180,-104,13,-101,13648,-8376,-4124,340,-98,-293
540,16072,-5772,720,-33,13,-93,13416,-8392,-3972,331,-165,-297
560,16008,-5896,444,-36,-275,-17,13224,-8508,-3952,318,-345,-369
580,16160,-5616,432,-271,-539,8,13504,-8488,-4004,345,-458,-368
600,16376,-5800,280,-190,-163,38,13532,-8332,-3948,301,-364,-299
620,16164,-5780,484,-18,-198,-49,13532,-8596,-3940,280,-247,-194
640,16160,-5792,380,-155,-413,-3,13580,-8472,-3800,249,-414,-280
660,16252,-5904,468,80,-576,33,13584,-8528,-3920,286,-516,-251
680,16380,-5644,356,251,-377,-48,13852,-8404,-3788,249,-347,-272
700,16380,-5784,588,411,-64,-122,13472,-8396,-3716,219,-169,-209
720,16032,-5756,824,998,-267,-117,13704,-8352,-3696,114,-104,-168
740,16112,-5756,1188,1646,-1199,-154,13344,-8408,-3816,127,-347,-333
760,16476,-4924,2532,2226,-2111,72,13636,-8352,-3596,-41,-21,-127
780,15928,-5312,1844,2799,-1953,15,13860,-7936,-3336,-554,129,62
800,15848,-3920,3028,2317,-1533,-352,14104,-7704,-2904,-1171,414,350
820,15676,-3492,3532,-2250,-1866,-149,13784,-7504,-2756,-2219,1551,452
840,14940,-3592,3532,-4968,-1918,169,14096,-7288,-2708,-3320,2773,186
860,14624,-2840,4064,-8769,-1627,387,12520,-7364,-2304,-4299,4919,-391
880,13592,-4980,1788,-7362,1539,-1000,11892,-7284,-2340,-5547,6312,-1000
900,13500,-4040,-420,-7376,4349,-3317,12136,-6816,-2236,-6559,6422,-2279
920,12796,-5100,-2776,-5099,7702,-5672,12608,-5760,-3088,-7066,7416,-3480
940,12076,-5848,-3208,-287,5713,-7066,12112,-6568,-3760,-7127,8528,-4195
960,11092,-5916,-3856,6195,2913,-8582,11432,-6568,-3728,-6984,7922,-5624
980,11484,-5712,-4044,10347,17,-9877,12612,-6356,-3448,-6557,7552,-6873
1000,13280,-4412,-3156,10885,-3028,-10124,12748,-5672,-4404,-5763,5926,-8556
1020,15416,-2420,-1472,4139,-3971,-9823,21584,-4696,-8652,-3414,3568,-8217
1040,16768,-4204,-3392,7105,-3720,-10252,13984,-5908,-3360,-5005,-1831,-10083
1060,16436,-3852,-3404,9517,-4197,-10599,15956,-5060,-4688,-3194,-373,-10766
1080,19932,-3336,-4024,11211,-3635,-10382,16096,-3728,-3732,-3421,740,-11631
1100,19508,-2464,-1416,11441,-4048,-8355,17360,-5704,-5592,-1286,725,-10019
1120,22024,-1536,-1396,8693,-5517,-6785,16472,-6348,-4804,493,741,-8887
1140,21008,-1668,-1576,10981,-5256,-5199,16404,-5608,-3948,-200,2446,-9095
1160,21356,-1352,-656,10784,-3810,-4022,17592,-4564,-3740,1691,2300,-7520
1180,23088,4332,5004,3196,-3621,-2479,18152,-4752,-3488,2093,-392,-6290
1200,26212,1096,1660,-637,-3575,-898,22052,-4656,-2328,919,-2931,-4465
1220,28208,-348,-332,1294,-2210,591,22368,-4492,-2716,1030,-4725,-1222
1240,28044,1536,1504,4008,-200,2119,22380,-5072,-4580,888,-4880,1930
1260,27512,-124,-664,2890,-831,5533,21624,-4924,-4488,1945,-6015,4501
1280,28856,-36,-2248,649,-474,8938,22572,-3564,-6120,3411,-9224,7618
1300,32767,-3180,-6864,7217,-4457,17144,21568,-5116,-6544,5232,-13071,11524
1320,29616,-3724,-7224,11397,-6040,21379,20612,-5964,-7884,7995,-14968,14269
1340,24896,-4184,-4072,9920,-2995,23696,17872,-6364,-7708,10142,-15528,15148
1360,20628,-2440,-2296,6816,450,22981,15372,-5420,-6548,12934,-14257,15206
1380,14216,476,1572,1746,8366,18855,14800,-7108,-5212,15500,-10352,15650
1400,12552,-2780,124,4991,6421,19799,10316,-8460,-2024,15975,-7896,16029
1420,10024,452,6284,-1011,8537,17685,10264,-7244,-1940,14751,-6615,14866
1440,2980,-5132,2516,-259,8051,15430,9584,-6912,-284,12171,-954,13533
1460,3892,-11720,-5028,4871,1957,15956,6396,-6516,-1928,9624,-1920,11215
1480,4324,-7608,-608,7851,2719,10705,7424,-7388,-3336,8406,-1215,8963
1500,1776,-4096,7544,3110,6004,2876,7556,-7780,-3152,6018,3565,5513
1520,5920,-8184,1560,4276,7342,335,7528,-8364,-1760,4035,6890,4021
1540,6668,-6460,3780,1233,3152,-859,6856,-9016,-2900,3470,6034,2337
1560,10364,-7200,2312,553,1947,-1368,8248,-8968,-3392,2301,3587,781
1580,12120,-6944,1776,-233,824,-1694,10120,-9380,-4348,918,2050,-447
1600,14452,-7496,916,-819,15,-1195,10564,-9744,-3960,182,445,-922
1620,15676,-7620,1064,-26,-1351,381,10844,-9864,-3316,-243,-2327,-650
1640,14804,-7748,1836,-631,-1609,1684,11472,-10116,-3284,-978,-3638,-432
1660,14192,-7356,2820,-1044,-825,944,11732,-10832,-4092,-1415,-2687,-558
1680,13344,-6876,3640,-3807,1136,-1184,12104,-10740,-4376,-1760,-392,-863
1700,14172,-6720,3548,-7407,3790,-3584,11832,-10948,-4576,-2284,2734,-1329
1720,14020,-7152,3068,-10990,6514,-4686,11508,-10812,-3804,-2737,5646,-1810
1740,12944,-7564,2868,-13132,4787,-3837,10604,-10416,-3088,-3038,4876,-2045
1760,13572,-8308,1456,-16521,2618,-3563,11496,-10556,-2372,-2672,2589,-2197
1780,14064,-7912,772,-21070,2947,-4031,12612,-10344,-3512,-2315,3245,-2411
1800,14212,-8520,-952,-22700,5062,-5929,13072,-10032,-4456,-2627,6076,-2794
1820,14320,-9240,-1928,-20142,6346,-7343,12136,-10232,-3316,-2552,7340,-3150
1840,14564,-8784,-1832,-17852,5011,-6666,11392,-10080,-3224,-2453,6383,-3588
1860,14748,-9188,-2412,-16369,2904,-4726,11536,-10392,-3164,-2056,4130,-3886
1880,14924,-9168,-2980,-11491,2083,-5698,13184,-9932,-3728,-1863,3005,-3996
1900,15964,-9236,-3696,-6248,2212,-7307,13628,-10280,-4176,-1227,1994,-3724
1920,17308,-8660,-2976,-1882,3346,-7197,12464,-10108,-3184,-766,1480,-3621
1940,17172,-8024,-2380,1208,1915,-4407,12196,-9940,-3648,-187,415,-3324
1960,15892,-7248,-1588,4621,-275,-3398,12892,-9984,-3948,484,-650,-3197
1980,15456,-7180,-1268,6582,-995,-4386,13116,-9724,-3680,904,-1974,-3185
2000,15896,-6892,-928,8976,-1341,-5603,13244,-9528,-3776,1168,-2409,-3270
2020,17084,-5784,36,8711,-2190,-4615,13016,-9804,-3848,1851,-1828,-2720
2040,17332,-5800,484,7740,-2647,-3314,12732,-9616,-4192,2181,-2194,-2911
2060,17180,-5632,444,7259,-1725,-2888,13172,-9232,-3584,2025,-2616,-3361
2080,15964,-5340,120,8190,-700,-2949,13480,-9116,-3112,2278,-3513,-3042
2100,17516,-2528,6268,-1546,-9035,1270,13128,-8928,-3116,2327,-4233,-2741
2120,20680,-660,9308,4169,-13911,1934,14520,-8400,-3224,1736,-5113,-2148
2140,20520,-5356,-532,-171,-1783,2085,15948,-8040,-2112,616,-5476,-1313
2160,17416,-5424,-1512,1712,1357,1601,16188,-8236,-3868,256,-3004,-449
2180,16384,-5612,-484,1092,876,856,14836,-8700,-4764,298,-641,88
2200,15928,-6004,-88,677,470,376,12868,-9100,-4120,342,484,-15
2220,15432,-6180,152,357,232,405,12388,-8984,-3900,171,-273,-342
2240,15876,-6064,-312,103,-737,717,12688,-8844,-3652,276,-1137,-403
2260,16244,-6024,-508,-160,-1063,937,13032,-8884,-3956,322,-1526,-387
2280,16612,-5920,-40,100,-396,863,13532,-8804,-4232,391,-1177,-237
2300,16576,-6140,-160,223,-1,630,13448,-8860,-4032,428,-972,-246
2320,16020,-6052,-216,236,5,543,13692,-8728,-3892,451,-877,-191
2340,16328,-6032,-72,270,-70,340,13448,-8892,-3892,389,-514,-157
2360,16628,-6136,-52,378,452,241,13524,-8748,-3912,237,-328,-91
2380,16180,-6164,-124,415,687,259,13356,-8760,-3976,226,-172,-69
2400,15940,-6272,-296,521,516,286,13032,-8916,-4132,230,-290,-118
2420,15844,-6364,-44,629,133,295,13040,-8820,-3900,182,-391,-165
2440,15956,-5988,-112,675,-86,233,13112,-8916,-4256,169,-580,-243
2460,16436,-6184,-344,256,-26,251,13392,-8788,-4268,313,-492,-278
2480,16012,-6048,248,50,-113,163,13356,-8740,-3904,269,-210,-190
2500,15968,-6492,-224,495,33,304,12876,-8984,-4064,186,-283,-287
2520,16412,-6068,-104,478,190,445,13604,-8820,-4320,301,-373,-291
2540,16352,-6180,288,54,349,147,13576,-8792,-4100,242,70,-60
2560,15720,-6356,480,306,358,-123,12944,-8916,-3704,96,4,-71
2580,16044,-6160,-108,733,120,19,12800,-9032,-4240,117,-473,-209
2600,16052,-6204,-72,136,-90,126,13308,-9008,-4276,303,-464,-219
2620,15744,-6248,280,-200,-181,4,12964,-8888,-3804,247,-291,-197
2640,16332,-6000,-40,-151,-349,-160,13360,-8876,-4480,297,-544,-309
2660,16928,-6076,-164,-365,508,123,13700,-8936,-4300,360,30,-193
2680,16028,-6268,504,-277,817,9,13436,-8712,-3940,253,336,-42
2700,15692,-6248,316,-219,495,-147,12836,-9040,-3960,152,61,-96
2720,16556,-6280,-204,-459,281,86,13120,-8912,-4224,192,-153,-178
2740,16232,-6240,348,-450,136,189,13436,-8832,-4164,282,24,-115
