Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-15164,1536,1292,-241,-113,-104,-14612,4844,5380,171,-376,-335
20,-15256,1432,1076,-309,-106,-138,-14620,4872,5620,172,-342,-326
40,-15228,1444,968,-242,-111,-249,-14588,4796,5540,155,-450,-343
60,-15384,1548,1276,-118,-157,-361,-14652,4736,5500,222,-487,-337
80,-15352,1604,1032,-142,-272,-332,-14568,4740,5616,236,-493,-296
100,-15360,1652,1028,-224,-218,-54,-14624,4756,5580,250,-289,-254
120,-15356,1456,948,-240,-143,81,-14600,4732,5576,249,-290,-283
140,-15188,1432,984,-198,-131,53,-14600,4900,5528,292,-240,-293
160,-15252,1540,1192,-127,-183,-38,-14596,4856,5556,270,-315,-339
180,-15096,1536,1048,-145,-107,-19,-14628,4896,5512,294,-232,-351
200,-15344,1608,1084,-36,-98,-59,-14548,4896,5684,283,-256,-426
220,-15320,1564,956,-33,-29,-81,-14820,4880,5520,272,-240,-363
240,-15456,1588,968,-173,-167,-73,-14680,4896,5668,275,-285,-327
260,-15652,1628,1008,-208,-271,-19,-14852,4956,5704,280,-326,-267
280,-15384,1456,1100,-225,-221,65,-14800,4944,5672,282,-221,-208
300,-15488,1396,1084,-194,-292,99,-14604,4956,5636,252,-229,-185
320,-15220,1360,1092,-237,-263,228,-14452,4884,5480,298,-191,-175
340,-15116,1356,1016,-144,-176,138,-14456,4764,5588,321,-176,-230
360,-15224,1284,1100,34,-210,-98,-14640,4856,5476,333,-335,-298
380,-15220,1364,944,88,-288,-161,-14760,4848,5640,342,-416,-311
400,-15512,1520,748,38,-192,-43,-14616,4812,5420,385,-291,-364
420,-15448,1496,900,10,-81,86,-14704,4820,5584,358,-202,-286
440,-15472,1496,1056,-65,-187,91,-14648,4888,5512,345,-272,-278
460,-15284,1564,948,-85,-196,119,-14692,4840,5628,286,-255,-219
480,-15276,1508,1040,-41,-201,-7,-14588,4708,5564,267,-286,-247
500,-15348,1568,1044,-136,-284,-97,-14652,4800,5712,213,-324,-175
520,-15336,1552,912,-242,-321,-45,-14580,4768,5636,250,-348,-176
540,-15324,1456,980,-257,-228,152,-14512,4788,5632,269,-169,-246
560,-15264,1376,980,-169,-160,147,-14756,4976,5564,229,-172,-221
580,-15284,1500,1180,-75,-294,-81,-14784,4740,5544,266,-326,-259
600,-15288,1488,996,-107,-282,-111,-14668,4868,5532,234,-367,-254
620,-15328,1656,1080,-146,-210,4,-14484,4828,5560,295,-316,-277
640,-15360,1544,984,-162,-117,15,-14660,4924,5484,274,-235,-265
660,-15368,1424,1112,-183,-278,-57,-14704,4952,5600,277,-376,-236
680,-15316,1532,1164,-162,-285,-21,-14556,4924,5540,253,-350,-237
700,-15308,1420,1184,-91,-290,6,-14560,4848,5672,267,-333,-275
720,-15316,1600,1348,-75,-222,-13,-14592,4960,5548,257,-363,-272
740,-15352,1588,1304,-100,-465,85,-14516,5008,5560,174,-616,-319
760,-16120,1816,1088,-105,-617,800,-14268,4948,5392,186,-978,-383
780,-15452,2876,-172,-2101,-1518,2578,-14356,5100,4844,151,-1808,-333
800,-14016,2144,376,-8166,1009,3087,-16236,5668,5624,-427,-3874,-487
820,-16624,1316,464,-12849,-550,1612,-16324,5056,4772,-1225,-6511,195
840,-15080,1644,124,-21389,539,1327,-17088,5476,5512,-1864,-9062,473
860,-14364,-676,3508,-19472,1304,-1116,-14656,5172,7216,-2049,-11280,491
880,-15648,220,2892,-7514,-834,-2564,-12184,4512,8584,-1758,-10139,641
900,-13184,320,1772,-5807,-3342,-6882,-15232,4880,8164,-1707,-11943,995
920,-14232,-68,3260,-4318,-3235,-10057,-13032,4952,7880,-2102,-14449,337
940,-14856,820,1760,-1637,-3069,-9377,-11320,5112,7760,-2276,-11996,58
960,-15376,1484,1220,-2230,-1216,-5407,-10632,4968,9024,-2560,-8375,-56
980,-16220,2176,792,-3413,799,-801,-11392,4684,9996,-2445,-3244,125
1000,-16112,1100,908,-5069,1643,-405,-14240,4608,10420,-2108,-1656,817
1020,-18752,-476,2000,-4627,311,-1273,-14948,5416,8852,-2455,-2523,1530
1040,-20056,608,2624,-3347,-380,959,-15084,5988,9172,-3044,-1415,2540
1060,-23392,5640,836,-3106,369,8973,-13444,6836,10276,-3541,5411,4851
1080,-26544,6328,500,-6049,1117,17466,-17304,7424,11004,-4302,15165,8344
1100,-27732,4604,1500,-9729,-337,19318,-22108,7788,12528,-4940,17002,12540
1120,-27932,1528,2260,-9536,-4460,14228,-24944,7944,12480,-5142,11292,16424
1140,-25764,872,2212,-9564,-9353,5873,-22980,7804,13168,-4083,1231,19673
1160,-22592,608,2316,-8490,-13993,801,-17544,7976,12416,-2697,-7400,21865
1180,-16772,-396,2408,-8117,-16212,416,-11324,6748,9892,-1346,-8795,23568
1200,-10996,-1792,2800,-7421,-15342,629,-9284,6864,9168,-918,-4424,23301
1220,-6060,-2632,3828,-6787,-12910,-1225,-7524,6824,8148,-432,-4554,20884
1240,-5124,-2252,4700,-5084,-13584,-3130,-3704,6208,7152,-298,-6571,18097
1260,-2916,-536,4012,-4562,-11147,-3162,-3144,6552,6744,-260,-5409,14417
1280,-3172,656,3516,-5772,-5671,-2183,-4164,6748,6548,-288,-1714,11629
1300,-6792,188,4120,-6062,-2787,-1778,-5960,7156,5572,-536,960,8953
1320,-10492,-48,4296,-4904,-3446,-2141,-7912,7436,5320,-831,-350,7094
1340,-10644,544,5088,-2979,-3690,-876,-7752,7904,5852,-736,-954,5721
1360,-9260,1724,4120,-2751,-2813,225,-7280,8452,6756,-473,410,4282
1380,-9796,976,5076,-2643,-1439,1017,-7236,9028,7100,-437,1512,2815
1400,-10480,676,5940,-2279,-1299,265,-7624,9464,8012,-381,478,1795
1420,-10624,772,5908,-2144,-688,37,-6836,10200,7792,-363,802,892
1440,-11208,-64,6380,-2342,665,794,-7108,10484,8184,-482,2828,-122
1460,-11932,-1124,7004,-1496,1689,517,-8328,10280,9304,-105,2394,-1032
1480,-12480,-1508,7180,62,1584,-628,-7908,10644,9196,266,428,-1752
1500,-12592,-1448,7000,1192,1455,-1294,-8012,10564,9776,538,-31,-2201
1520,-13076,-1048,6888,2098,1449,-1748,-8028,10448,9812,915,-1182,-2775
1540,-13128,-408,6200,2097,1931,-1183,-7872,10448,9540,1160,-456,-3174
1560,-13232,-356,6296,2251,2283,-302,-8208,10380,9464,1323,53,-3561
1580,-12264,-296,6408,2497,2282,-567,-8004,10220,9268,1095,88,-3843
1600,-11056,-540,6532,3177,2698,-1117,-8004,10048,8904,959,216,-4474
1620,-10576,-8,5456,3639,3332,-2265,-7764,9532,9080,876,296,-5338
1640,-10632,696,4464,3372,4764,-3025,-7772,9028,8904,1132,426,-6295
1660,-11044,492,4892,2673,5738,-2802,-7996,9096,8076,1218,-296,-7487
1680,-11608,-200,5156,4061,5489,-2436,-7676,8536,7648,1045,1535,-8327
1700,-11076,-508,5832,6536,5755,-2768,-8264,8300,8228,1324,2012,-9207
1720,-11052,-884,4656,7885,5800,-4464,-8580,7920,8972,2021,1155,-10351
1740,-11800,-424,4200,7726,4836,-7027,-9232,7940,8544,2827,-660,-11431
1760,-13176,48,3704,8175,2935,-8522,-9432,7580,7940,3427,-691,-11882
1780,-14176,-572,3392,8789,2175,-6733,-9968,7924,6884,3650,846,-12345
1800,-13708,-604,3660,9369,2720,-4331,-10336,7740,6928,4046,2728,-13575
1820,-13704,-1452,3728,11081,4301,-2574,-12084,7644,6840,4522,3900,-14532
1840,-14636,-664,2764,11483,5350,-2142,-12788,7744,7036,4640,3346,-14436
1860,-15444,-912,3220,11747,4556,-3468,-14420,7344,7924,4889,1491,-14097
1880,-16644,-252,2264,11351,4582,-4608,-15260,7340,7508,4954,969,-13163
1900,-18268,800,2128,9309,6479,-3122,-15492,7364,6920,4410,2280,-12353
1920,-19532,356,2936,7159,8009,-349,-16120,7204,7276,4057,3039,-11275
1940,-19884,204,2932,7021,7884,1589,-16456,7220,7820,3696,3639,-9841
1960,-19736,268,2408,7260,7049,2170,-16656,6696,8136,3608,3990,-8426
1980,-19704,508,1884,6834,6603,2485,-16756,6608,8272,3639,4420,-6920
2000,-19876,772,1768,5399,5288,2697,-16728,6528,8156,3607,3761,-5448
2020,-19120,896,1952,4748,3712,3046,-16020,6472,7792,3532,2891,-4263
2040,-18204,1112,1784,4149,2219,3448,-15512,6404,7524,3328,2650,-3276
2060,-17356,1296,1584,3472,1666,3416,-15524,6272,7284,3173,2735,-2482
2080,-16948,1340,1444,2858,1382,3340,-15328,6076,7020,2784,2538,-1752
2100,-16760,1432,1440,2134,1004,3360,-15144,5980,6876,2465,2078,-1208
2120,-16100,1536,1392,1355,374,3102,-14860,5920,6688,2102,1418,-636
2140,-15660,1452,1352,957,-192,2559,-14768,5748,6292,1733,940,-322
2160,-15232,1560,1488,833,-540,1773,-14684,5696,6176,1407,363,-101
2180,-15324,1848,1172,397,-1366,1042,-14528,5420,6100,1075,-546,-34
2200,-15012,2136,824,-255,-1643,491,-14176,5504,5752,787,-925,78
2220,-14700,2040,900,-667,-1243,294,-14336,5460,5584,452,-729,71
2240,-14984,1872,1148,-770,-896,277,-14400,5364,5480,209,-451,-22
2260,-15084,1908,1160,-820,-961,226,-14572,5184,5584,85,-687,-91
2280,-15096,1972,1064,-755,-955,33,-14728,5116,5444,38,-709,-40
2300,-14956,1736,1088,-619,-739,-47,-14572,5184,5360,-33,-636,-50
2320,-14652,1860,1072,-608,-409,-81,-14388,5252,5336,7,-526,-161
2340,-14916,2080,1140,-878,-142,110,-13924,5196,5328,13,-191,-343
2360,-15044,1948,1216,-732,165,446,-14104,5212,5500,87,365,-478
2380,-15204,1600,1356,-397,347,483,-14764,5172,5576,184,383,-405
2400,-15324,1668,1472,36,25,211,-14688,5160,5608,301,-111,-451
2420,-15316,1680,1276,293,-142,98,-14460,5104,5584,397,-237,-455
2440,-15164,1724,1084,233,-26,320,-14236,5140,5524,456,43,-480
2460,-15244,1720,1232,161,109,309,-14560,5104,5620,497,91,-508
2480,-15216,1596,1304,218,91,96,-14736,5180,5580,497,-100,-487
2500,-15236,1632,1304,273,-43,-56,-14384,5144,5820,614,-287,-561
2520,-15224,1884,1076,214,-21,64,-14324,5244,5632,657,-220,-642
2540,-15236,1708,1256,182,129,143,-14548,5144,5676,611,-26,-664
2560,-15160,1644,1312,369,81,-54,-14688,5192,5580,605,-260,-630
2580,-15204,1968,1100,353,-4,-245,-14388,5196,5640,595,-406,-643
2600,-15004,1976,1012,-32,37,-45,-14260,5272,5756,541,-252,-669
2620,-15148,1696,1272,-131,220,-89,-14680,5168,5584,530,-168,-717
2640,-15408,1668,1368,204,57,-408,-14796,5100,5624,544,-493,-747
2660,-15480,1732,1196,359,85,-516,-14560,5116,5596,441,-516,-702
2680,-15432,1824,996,310,182,-440,-14412,5124,5704,446,-386,-630
2700,-15324,1904,872,-17,157,-185,-14448,5140,5768,425,-280,-622
2720,-15260,1736,852,-207,99,-164,-14616,5080,5556,421,-334,-564
