Time,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
0,-184,888,17968,-302,7,-544,4172,-3820,15128,-559,78,-115
20,-188,716,17928,-297,31,-528,4276,-3840,15032,-550,86,-137
40,-260,820,17976,-288,24,-520,4332,-3800,15160,-576,13,-166
60,-136,796,17880,-271,9,-504,4372,-3784,15124,-595,11,-99
80,-292,772,17960,-285,8,-556,4280,-3808,15120,-553,66,-89
100,-300,692,18060,-264,2,-544,4220,-3808,15204,-584,34,-123
120,-176,884,17892,-307,2,-517,4320,-3768,15100,-639,22,-100
140,-156,708,17904,-310,43,-544,4204,-3772,15180,-609,49,-104
160,-140,724,17996,-325,68,-536,4180,-3764,15176,-551,77,-125
180,-160,700,17888,-305,71,-525,4148,-3860,15136,-564,52,-105
200,-184,736,17812,-305,12,-514,4124,-3812,15304,-538,82,-134
220,-72,724,17940,-284,51,-507,4372,-3768,15152,-541,11,-90
240,-240,764,17936,-288,50,-526,4276,-3892,15048,-556,55,-95
260,-228,728,18028,-275,35,-520,4256,-3808,15084,-515,22,-93
280,-236,736,17956,-283,-11,-507,4312,-3892,15048,-528,10,-109
300,-244,736,17968,-370,-50,-523,4240,-3856,15132,-586,-93,-65
320,-180,696,17960,-457,-139,-546,4176,-3896,15376,-574,-185,-43
340,-432,804,17984,-659,-123,-555,4280,-3916,15432,-529,-281,144
360,-620,1028,18116,-956,-300,-282,4408,-3632,15824,-577,-379,409
380,-876,932,18244,-1295,-545,200,4772,-3164,16036,-663,-300,928
400,-1640,2160,19308,-1999,1158,1612,5324,-3260,15776,-594,592,1560
420,-2044,280,19560,-344,1713,3631,3292,-3788,16544,7,1420,2690
440,-2060,640,19212,789,1289,5784,4044,-3740,15920,877,-449,3127
460,-2776,1476,19408,1870,2003,9816,4584,-3316,16540,1799,-949,3652
480,-5292,1952,18196,737,8238,13562,3276,-2648,17676,3067,1891,6013
