ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
9023.337,1505.8146,15490.617,-124.71503,214.51273,-474.87216,5360.937,1805.6873,15076.339,-507.24722,265.20123,-63.146248
8845.207,1023.2278,15522.993,-209.23233,157.31454,-442.47983,5366.23,1821.2318,15167.325,-571.63025,161.32892,-46.14322
8759.376,1393.1222,15659.575,-287.90717,-27.94952,-579.7213,5289.1387,1792.8329,15127.713,-546.7389,-159.41232,-99.92191
9130.416,1303.1498,15468.4,-351.38358,-133.15521,-598.03357,5565.361,1885.4673,15033.816,-572.5421,-138.38142,-182.71825
9346.736,1415.7848,15373.429,-273.18063,82.51519,-519.29675,5771.7754,1785.9906,15119.091,-534.3984,223.87173,-106.30116
9097.68,1255.7294,15500.446,-142.64659,184.49799,-500.38074,5420.0464,1812.1671,15000.654,-518.2922,195.77274,-38.59616
8826.083,1517.4688,15520.181,-187.15604,110.57451,-512.88684,5162.321,1781.4695,15066.804,-497.0379,31.83752,-49.980965
9002.203,1478.9038,15537.152,-349.3611,-81.264305,-620.72766,5296.5605,1848.6901,15169.429,-595.35406,-248.4725,-104.001816
9216.158,1505.3076,15423.717,-400.8737,-130.16754,-564.0071,5615.295,1847.9744,14922.937,-633.8995,-142.98778,-108.59039
9353.27,1432.5193,15312.918,-356.083,-10.035561,-468.45132,5785.723,1749.5216,15034.757,-594.21344,187.91588,-89.020584
9081.287,1403.6777,15332.06,-235.6851,95.44351,-378.72693,5436.0547,1678.5061,15186.286,-488.0578,295.2802,-34.66447
8896.777,1391.0293,15628.398,-170.19948,135.99751,-439.5644,5142.7715,1803.6268,15315.156,-476.52606,201.47545,-49.147232
8863.194,1444.4148,15686.252,-259.67178,-48.69607,-572.8885,5255.975,1819.6084,15041.01,-507.78067,-180.4626,-103.72071
9248.8545,1366.5271,15355.21,-307.03732,-20.795479,-542.8333,5560.7354,1852.7325,15101.823,-521.0066,-42.4665,-100.31962
9196.632,1473.0826,15474.355,-233.10228,51.656647,-531.2535,5604.132,1709.3478,15011.77,-535.32153,-20.476929,-83.82771
9143.826,1407.5331,15541.138,-225.78383,67.71705,-501.85736,5471.218,1936.498,15255.188,-557.2599,123.09912,-99.543236
8942.758,1441.4398,15520.684,-246.60037,-23.005287,-536.3939,5330.995,1897.8148,15044.179,-596.9285,-31.802778,-80.5672
