ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
-12047.872,4122.6953,-522.3216,-67.47363,-233.93889,69.540596,-12626.499,3996.7932,-487.23203,387.40344,-215.6342,-163.40637
-12007.601,4074.17,-781.0987,-58.847332,-256.07373,22.77071,-12646.404,4016.4412,-579.4037,302.00772,-241.34106,-206.0398
-11985.249,4030.077,-654.7636,-11.772699,-171.56949,99.85026,-12588.363,3987.6938,-600.0968,305.82468,-307.01187,-225.71355
-12050.088,3977.5112,-683.79474,-87.22138,-65.24437,117.108925,-12632.4795,4016.7356,-534.5701,235.12408,-248.52625,-265.56924
-12015.95,4013.2747,-731.5115,-103.45679,92.83797,146.24338,-12615.276,3944.8513,-407.81543,269.1563,-147.92157,-300.77313
-12144.197,3956.845,-681.36755,-145.86078,-255.131,-69.92482,-12612.884,3942.956,-560.35913,256.47363,-161.37387,-210.63246
-11963.225,3853.5144,-572.8195,-206.60349,-328.03854,-52.100437,-12637.307,3954.491,-391.0292,353.4014,-275.72507,-146.26212
-12068.383,3995.7275,-640.7659,-66.28143,-177.18265,235.12729,-12384.992,4040.8857,-430.36218,404.80518,-358.3312,-136.01544
-11850.11,4041.6194,-743.0477,-4.0167184,-74.07079,303.37317,-12546.557,4026.7632,-639.65894,408.36304,-200.21646,-157.22858
-11969.877,4097.43,-673.16174,0.15751661,-128.8437,204.90504,-12558.731,4079.1553,-488.8454,353.4466,-118.468864,-176.49994
-11938.676,3913.2898,-545.57886,48.689342,-303.6531,-16.694958,-12692.308,4044.3955,-509.49673,331.92148,-171.80254,-151.16885
-12168.8955,3981.4553,-757.49854,154.64836,-473.86456,-78.59257,-12710.377,3963.4548,-360.4484,359.16788,-361.01672,-96.54266
-12461.636,3880.4182,-1056.114,54.454845,-586.77856,121.5033,-12780.256,3959.8044,-555.31696,329.3375,-487.03064,53.836727
-12975.842,3934.398,-822.8407,23.83892,-411.8036,362.60577,-12898.507,3960.4702,-537.47174,136.27434,-351.99454,253.45715
-12727.458,3872.9526,-810.2365,-74.839905,-666.2691,505.2457,-13189.861,3893.4558,-480.12463,97.18502,-207.24228,392.18088
-13289.924,3652.9036,-375.77692,-181.19862,-991.2255,304.55612,-13532.919,3960.4854,-455.41714,65.49571,-145.92091,823.0019
-13906.516,3380.7554,-387.99844,142.16705,-1909.4374,443.9481,-13616.394,3781.0608,-231.49461,182.88992,-284.83447,1459.7727
-13980.407,3582.119,-247.18411,395.54626,-1950.0096,1219.4824,-13712.127,3836.203,-121.66505,477.70255,-372.6908,1974.1865
-13618.975,3695.9812,34.800713,979.4788,-2030.591,2039.2675,-13649.784,4183.4653,-92.168724,753.0577,-452.95364,2425.7664
-13470.606,4110.559,393.9341,1263.7415,-3167.061,2612.081,-13715.833,4584.327,118.07167,823.38196,-468.62497,2883.0686
-12839.328,4607.347,344.6489,1333.2067,-4679.1157,2776.263,-13476.017,5082.113,29.958712,859.4745,-665.6486,3417.06
-12498.507,4922.609,348.91534,1061.9261,-6091.9375,2958.6292,-12779.535,5586.981,-128.15228,164.15987,-1455.8734,3499.8896
-11387.177,5708.4062,300.41742,169.67075,-5609.535,3737.5442,-12357.399,5507.7754,-32.986702,-186.68378,-1869.8552,3766.5352
-11800.723,5178.876,203.32384,-112.04232,-4798.56,3834.8386,-12490.398,5510.8096,214.73105,-583.524,-2884.1106,3895.4683
-11186.074,5249.9033,751.2803,-618.6583,-6260.472,3738.8423,-12234.049,5314.6523,-81.45593,-659.9217,-3117.296,4021.0332
-11599.77,5250.542,414.44995,-1146.4596,-7384.0303,3265.776,-12553.013,5712.2295,-628.1531,-923.0542,-3640.047,4224.85
-12140.13,5311.674,-10.297731,-1187.9609,-8751.318,2789.3865,-12556.331,5312.5537,-573.7843,-1542.4199,-5108.9507,4409.584
-12254.732,4681.147,560.2497,-1266.6101,-9855.831,2649.605,-12993.592,5518.595,-422.81393,-1811.3195,-5799.993,5365.454
-12138.594,4364.9062,484.07672,-1246.9086,-10979.122,2522.6577,-12934.56,5294.457,-71.92075,-1744.9866,-6843.341,6193.623
-12414.97,4434.662,340.2717,-1802.646,-12121.063,2718.4924,-12306.111,5245.204,-383.98328,-1337.1211,-8305.92,7100.9985
-13031.906,4055.8118,1368.2205,-1987.4768,-13613.54,3023.3616,-11854.497,5699.5815,-566.69037,-1454.1257,-9624.372,7739.3506
-12239.182,3450.2107,1258.3773,536.1853,-16570.299,2117.947,-12098.759,5956.261,-40.235714,-1959.104,-10596.246,8152.6553
-11872.505,2697.9165,6036.589,2206.7769,-20539.174,742.46295,-11914.719,6023.9595,459.9412,-2052.2104,-11130.641,8765.291
-12699.384,2692.4524,3528.4592,4941.386,-25082.314,-119.633965,-10812.133,6140.8403,436.58508,-1293.5354,-12366.731,9472.556
-11786.338,3767.736,2564.6692,5523.192,-25531.643,780.92267,-10175.943,6298.5425,-100.16391,-743.3087,-12474.225,10212.942
-10921.423,2872.4128,3394.9775,6436.55,-26442.145,1296.8392,-10150.597,6851.4595,46.395832,-373.83035,-13355.962,10999.631
