ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
-4550.8174,4977.485,15481.359,-210.43922,-14.07494,-503.7889,-5244.6655,593.9161,13866.591,-536.0165,-53.182682,-239.2907
-4551.38,4994.07,15367.407,-219.35985,-26.904312,-554.0015,-5165.9766,605.3723,13949.326,-521.44666,-48.964935,-214.4929
-4506.522,4999.398,15326.977,-239.91061,-14.24418,-539.3606,-5176.3335,596.48413,13849.161,-520.08813,-29.272837,-212.822
-4573.8735,4953.213,15342.9,-263.96494,-25.193874,-559.9766,-5157.1743,665.117,13939.543,-493.99152,7.557659,-229.0377
-4504.454,4933.6704,15497.463,-311.38748,-28.580376,-528.464,-5156.5884,597.95544,13979.239,-479.79843,-10.431197,-191.99352
-4564.3965,4974.3096,15275.283,-294.51315,1.0216827,-468.23914,-5140.575,581.1579,13926.185,-512.755,-71.74386,-151.46515
-4545.452,4926.976,15350.745,-284.80386,13.900983,-463.91287,-5232.6436,553.8724,14007.167,-540.5042,-128.17416,-180.69243
-4665.9126,4876.066,15348.408,-338.50027,17.764265,-469.1393,-5246.6953,579.80457,14022.056,-524.76874,-199.34889,-209.13829
-4583.9927,5005.2217,15332.116,-347.54074,19.768917,-504.6935,-5128.6978,558.1977,13764.757,-461.4167,-183.83995,-236.48225
-4623.4014,5093.347,15325.059,-346.38797,-23.878769,-511.04398,-5186.647,607.5566,14119.892,-459.50012,-224.00052,-208.52258
-4652.929,5044.722,15338.243,-475.31183,-60.411617,-519.5119,-5198.263,587.2786,13982.444,-528.4275,-391.6674,-220.51445
-4567.313,4960.3516,15375.95,-605.4611,-68.234535,-504.2201,-5432.003,416.0458,14090.605,-578.7381,-774.7167,-298.25418
-4776.91,4844.7026,15327.247,-830.8591,-53.88437,-399.6326,-5530.0376,309.4581,14149.298,-611.0581,-1838.1927,-443.0007
-5161.458,4929.17,15382.386,-1237.9678,-198.57198,-256.54495,-5374.741,392.3462,14217.81,-657.83636,-3130.92,-560.98596
