ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
-7464.9937,2090.6755,11045.763,-112.87338,-131.00499,-288.15457,-4279.1963,448.96542,7553.384,-195.66425,-80.52319,-129.6503
-7512.455,2018.7687,11066.966,-68.34091,-80.39147,-279.2048,-4239.825,476.29932,7526.515,-183.67863,-114.72975,-122.80348
-7535.4233,2048.2332,10892.9795,-166.41034,-73.95231,-256.20905,-4385.671,494.78793,7711.1187,-151.982,-54.475925,-123.0297
-7475.3516,2086.5603,10900.107,-200.17937,-126.032555,-197.55293,-4322.3135,430.82242,7580.0693,-114.850296,-96.802574,-110.78467
-7431.3267,2060.4944,10993.144,-242.03745,6.232838,-219.24632,-4306.133,500.0569,7539.699,-145.89923,-60.772823,-87.817154
-7483.4043,2107.1978,11013.792,-115.5481,-113.17084,-247.59146,-4413.062,545.2913,7582.227,-175.96179,-90.39811,-109.20037
-7475.045,2070.1687,10948.6875,7.336139,-29.74454,-241.33342,-4313.8027,510.4852,7641.2607,-144.48633,-74.71411,-111.86675
-7468.2383,2116.736,10940.501,-64.71811,5.3446207,-251.38144,-4248.4023,556.20703,7719.6353,-112.02059,-17.66996,-134.54688
-7429.3975,2082.7966,10987.561,-196.55002,-86.46697,-272.9531,-4458.534,525.99036,7673.318,-163.09094,-39.93581,-130.96857
-7580.685,2229.8853,10953.697,-209.10005,-147.65953,-287.34787,-4364.9136,470.22876,7675.312,-197.40587,-174.19684,-123.27022
-7594.4707,2139.677,10990.46,-223.13976,-93.37666,-253.05055,-4278.982,584.5732,7712.4087,-217.78433,-153.34879,-93.09296
-7497.397,2197.2458,11003.996,-201.16048,-90.666084,-228.05936,-4309.439,517.47644,7630.8604,-183.45728,-22.184559,-96.53706
-7322.7144,2170.6858,10951.285,-234.1134,-33.457672,-207.15242,-4255.807,503.5617,7628.424,-178.08684,-32.734795,-104.692604
-7393.576,2110.5222,10948.534,-172.40402,-73.90564,-272.4861,-4311.9883,470.75482,7661.5557,-198.9337,-91.715324,-131.1464
-7302.151,2067.9646,10929.647,-169.35623,-130.86461,-321.32513,-4280.084,501.15958,7710.1025,-211.06865,-143.1163,-179.9888
-7361.589,2093.487,11033.342,-278.74457,-62.423016,-368.7297,-4333.259,489.68478,7654.5625,-156.57404,-151.43028,-181.65286
-7504.123,2152.6062,11105.968,-189.78133,-79.63776,-367.61792,-4272.99,478.95477,7610.9307,-132.9548,-150.20438,-215.40523
-7489.9336,2157.656,11058.474,-78.84469,-48.306164,-343.74008,-4247.7793,549.0994,7526.685,-133.8962,-156.00258,-217.24081
-7506.9014,2113.9253,10819.251,-120.15675,-21.93251,-338.5728,-4222.8853,492.5487,7500.3975,-170.05125,-193.82045,-199.54382
-7457.578,2072.8477,10947.339,-225.10706,-106.116165,-347.69302,-4224.4697,456.12103,7600.6113,-188.18709,-151.96738,-166.54123
-7382.672,2126.2578,11102.924,-251.70102,-113.48226,-314.00168,-4232.3145,476.29123,7556.178,-167.08018,-146.928,-168.51466
-7365.6816,2182.7686,11103.078,-130.02292,-92.733215,-305.1367,-4254.5957,584.48285,7599.5723,-181.83965,-132.9689,-192.094
