ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
-13438.36,587.0757,6494.985,-85.91626,-214.4564,12.100124,-11502.027,5537.517,10920.133,379.01462,-373.1076,-285.04166
-13551.657,699.481,6467.509,18.761173,-231.46585,101.39994,-11508.167,5476.2583,10855.532,371.13577,-398.76605,-247.84221
-13393.765,574.28894,6298.4487,40.259075,-173.00769,113.09769,-11600.861,5458.653,11110.083,412.18256,-348.76965,-176.01054
-13429.138,704.9995,6375.072,-157.71307,-342.89902,157.8651,-11459.887,5554.415,10982.191,381.72186,-475.42264,-171.93402
-13263.801,668.5772,6394.051,-182.75824,-279.4198,125.86055,-11452.286,5669.3647,11003.984,371.81564,-388.76843,-164.23885
-13217.208,757.2438,6267.326,-58.262566,-142.4324,111.96193,-11419.471,5523.8916,10828.812,342.12103,-187.85913,-188.95143
-13402.809,675.901,6369.6772,-48.265762,-249.39833,60.46192,-11385.177,5415.6035,10839.503,324.3416,-166.53896,-184.50548
-13397.122,712.05804,6297.4556,-183.9569,-238.97874,142.5835,-11446.8,5663.0015,10913.246,310.81885,-268.15662,-171.40253
-13459.292,758.7587,6292.096,-197.26068,-175.32399,177.4924,-11433.374,5558.9966,10941.603,318.0213,-180.75117,-140.79596
-13312.59,475.26685,6389.8203,-83.627266,-239.41534,90.47933,-11318.521,5518.029,11068.872,323.6057,-207.92642,-191.90883
-13355.702,449.10074,6386.8203,-125.6588,-138.62837,117.08064,-11407.078,5464.711,11004.377,345.83997,-165.49597,-185.09506
-13318.608,527.2164,6512.4053,-138.32243,-210.6327,168.77531,-11446.604,5504.395,11065.289,367.92606,-167.44308,-194.36719
-13356.075,557.54614,6404.7554,-26.964277,-192.95126,92.291664,-11422.262,5595.4575,11029.837,392.4857,-255.43484,-255.48358
-13170.964,581.2276,6285.624,20.245886,-114.01772,47.06372,-11324.328,5474.4165,10905.162,380.8836,-233.43024,-295.51096
-13216.333,617.8324,6383.9663,35.386375,-115.49964,42.75293,-11315.121,5419.6396,11056.844,420.45773,-266.56223,-370.07135
-13476.423,575.20496,6543.419,-76.21243,-150.42816,4.277139,-11439.156,5555.9966,10938.989,398.61105,-278.6039,-375.84744
-13558.919,450.88025,6407.9463,102.19406,-210.18744,-33.628593,-11551.073,5507.294,10913.387,423.6675,-274.01672,-323.7946
-13749.78,624.50696,6661.8535,152.45633,-273.2567,76.51364,-11538.809,5615.034,11092.92,421.1907,-277.62418,-279.9705
