ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
16644.137,-1566.9628,-4074.271,-191.00293,203.18657,-127.44386,12922.607,-8558.721,-3903.4785,644.8078,-107.943,-315.7408
16761.258,-1315.1382,-4326.0454,-332.967,77.90947,-107.06954,12859.6875,-8471.516,-3946.7148,554.2389,-103.74644,-303.55035
16966.346,-1310.3992,-4848.8354,-165.55609,338.6954,58.792767,12955.6,-8501.568,-4169.2134,572.93677,-51.8942,-193.92224
16953.133,-1342.587,-5033.7256,-74.00234,283.17575,125.97963,12892.446,-8569.466,-4205.3306,553.02765,-151.01204,-177.5826
16897.604,-1418.7316,-4846.2915,-168.90894,60.261692,191.27646,12923.41,-8584.156,-4167.3794,634.69556,-365.17285,-198.7595
16538.664,-1577.3833,-4471.3374,-120.71087,-138.82584,174.9613,12957.335,-8519.218,-4121.6045,569.73126,-409.7185,-244.61499
16743.535,-1466.5571,-4388.943,-197.87256,-359.99002,96.64346,12970.19,-8549.988,-4043.2498,506.10028,-299.05307,-266.0644
16678.824,-1556.6484,-4526.9614,-271.60498,-194.92574,53.19112,13023.747,-8563.407,-4199.829,451.88934,-221.34085,-297.78122
16991.174,-1414.7233,-5050.3306,-129.6289,98.53213,47.13322,13054.94,-8693.034,-4094.0032,450.54086,-214.21094,-227.44716
16968.115,-1415.8995,-4765.2266,-25.179918,-82.48685,-13.685298,12958.1,-8616.188,-4073.6106,477.27127,-251.03914,-180.84552
16612.033,-1567.897,-4344.48,-81.12576,-48.796688,35.078632,12885.006,-8664.884,-4034.138,470.25055,-328.78247,-238.95642
16617.285,-1573.5889,-4213.065,-171.15396,-292.64093,-49.89865,12894.827,-8612.515,-3937.269,446.05408,-349.9035,-339.0018
16620.893,-1384.2537,-4453.8447,-45.77955,-233.55235,-195.77142,12966.382,-8595.431,-3935.6138,388.92612,-262.04227,-428.5739
16995.719,-1335.1115,-4670.7974,-93.78101,-217.7692,-109.44581,12954.766,-8611.456,-3883.616,313.60974,-299.0652,-452.5563
16993.146,-1463.7103,-4685.733,-17.07529,-267.0103,-8.605542,13030.238,-8687.304,-4199.354,364.796,-382.12552,-394.26956
16904.025,-1619.4941,-4564.1865,80.29684,-450.44702,-68.864876,13133.582,-8739.638,-4260.4536,420.6926,-400.25262,-369.39877
16947.84,-1429.395,-4722.874,-83.4485,-215.29999,-58.11376,13035.175,-8743.8125,-4063.133,435.1763,-214.17703,-270.35626
16911.158,-1437.29,-4620.8037,20.78476,-12.453704,10.379758,12978.641,-8541.005,-3889.258,419.54474,-81.97459,-148.02284
16640.025,-1507.7655,-4375.6533,218.42435,0.9640111,-17.936735,12751.836,-8595.222,-3943.0525,328.84543,-78.24391,-106.94102
16714.074,-1489.5565,-4440.879,186.85114,-71.50234,-41.738346,12995.804,-8550.511,-4077.941,300.44995,-96.68679,-135.07143
16875.586,-1385.2405,-4675.6436,-13.12839,-50.93564,-123.29501,13059.3955,-8594.211,-4213.691,284.30133,73.44554,-78.97556
17173.695,-1233.1161,-5180.3467,-13.848831,86.21269,15.550659,13009.6,-8608.823,-4213.576,322.31976,-11.834828,-47.294434
16625.652,-1491.7358,-4903.387,47.450665,57.784893,51.923363,12934.082,-8630.621,-4041.8672,405.81647,-142.02155,-101.25409
16484.227,-1458.4694,-4187.7607,-33.183292,13.685173,14.078668,12802.714,-8565.659,-3873.9343,412.01526,-127.4533,-209.81462
16663.453,-1557.0239,-4260.1924,-75.27358,-216.54265,-125.849045,12890.184,-8708.923,-3859.6355,349.4062,-101.406685,-317.63037
17073.264,-1372.0725,-4622.065,187.78038,-249.51106,-118.85244,12850.518,-8643.816,-4008.4893,256.3709,-158.89847,-304.65237
17144.852,-1420.3892,-4768.4297,239.97844,-352.80063,-89.596596,13165.67,-8598.671,-4113.7734,241.97826,-323.72202,-218.77766
16876.809,-1423.9647,-4712.2573,128.27606,-262.1104,34.006363,13057.455,-8671.135,-4093.239,323.96548,-342.50885,-173.83969
16746.611,-1397.3076,-4428.189,54.76794,-177.81122,-10.581659,12935.886,-8572.65,-3976.3967,370.09488,-358.71082,-167.04681
16828.195,-1371.1436,-4561.6104,-245.78775,-209.23962,-1.5881469,12914.84,-8600.553,-3992.6445,367.2773,-241.47586,-274.19577
16759.805,-1356.8572,-4585.302,-58.024548,-288.83228,-18.275799,12972.107,-8585.103,-3724.7354,375.08148,-305.20917,-255.03423
16932.232,-1409.1906,-4605.674,90.79512,-288.41687,-13.148814,12914.839,-8629.017,-4010.3958,370.0386,-403.0476,-253.99065
16739.45,-1396.8424,-4717.9453,239.92564,-152.63799,-53.908882,13040.673,-8652.289,-3906.3005,361.81628,-304.78235,-225.18877
17027.535,-1445.4037,-4687.814,202.49872,-169.54497,-69.632355,13087.424,-8665.372,-4080.976,365.765,-237.08246,-190.60347
16913.732,-1524.27,-5097.223,82.03049,-101.17264,62.096703,12762.009,-8747.631,-4112.249,421.20905,-347.23956,-160.5546
16605.604,-1641.5375,-4571.6694,91.27238,-320.71088,67.02702,12752.74,-8684.463,-4097.287,475.21625,-542.62506,-208.91985
16663.102,-1591.7437,-4360.238,65.38184,-314.8022,29.01713,12756.367,-8539.616,-3927.9211,431.65063,-520.3727,-283.41367
16951.91,-1202.3776,-4331.274,7.798072,-405.97992,-54.500565,12828.6045,-8555.878,-4071.0151,328.81546,-423.44925,-229.35301
