ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
16722.139,631.2103,-3018.0125,35.986023,-91.85483,21.77927,13926.133,-5782.918,-4833.884,450.69876,-304.3894,-236.98553
16680.256,763.91547,-3012.6833,-34.960297,-196.99327,170.1137,14038.089,-5736.049,-4926.6504,437.2833,-419.1691,-340.66754
16493.605,801.6271,-3062.046,-7.8876457,-183.88283,-20.236675,14081.743,-5735.3125,-4943.431,421.16568,-334.4677,-341.22903
16618.893,740.5074,-3039.1287,-97.208084,-161.61766,-218.54034,14130.2295,-5763.1514,-5024.4375,434.50262,-113.755066,-329.54718
16801.902,818.5134,-3123.8704,-274.23145,-89.09514,-266.0828,14039.407,-5829.788,-5080.836,440.1475,-78.18331,-371.31506
16851.844,811.7177,-3216.4387,-215.93697,-93.65602,-174.79272,14015.502,-5553.0347,-4970.1035,443.42807,-144.60217,-291.10992
16965.512,703.2887,-3252.5566,-89.846756,-147.82054,-153.56732,14204.459,-5620.348,-5093.4346,464.1063,-202.43243,-272.69797
16965.125,816.19073,-3293.4385,-26.913467,-104.28328,-67.43039,14095.203,-5527.8623,-4913.662,504.44785,-288.69913,-177.03868
16579.928,720.39606,-3207.72,-85.22789,-110.72524,127.69813,13925.669,-5621.0396,-4864.881,397.14804,-431.14688,-226.96231
16530.21,696.976,-2933.337,169.47185,-251.94621,177.38698,13887.115,-5604.8535,-4894.7524,366.29376,-493.63614,-187.71169
16562.105,809.5915,-2930.548,-26.99479,-303.68875,113.07131,13945.9,-5646.717,-4896.845,321.304,-378.09515,-228.94168
16566.867,822.9284,-2884.5654,-294.06183,-274.58118,89.93987,13927.278,-5709.8657,-4990.717,320.09424,-280.6064,-257.21008
16687.092,796.4286,-3133.728,-282.99515,-259.78442,52.187912,14097.582,-5715.5503,-4919.8223,271.03134,-261.49158,-321.6292
16677.307,634.40063,-3278.31,-75.11828,-209.782,-71.65656,14022.244,-5688.408,-4936.4844,238.91534,-208.7652,-326.61572
16778.225,826.99,-3021.869,-19.608461,-416.5793,0.5880617,14178.327,-5673.3936,-5060.555,268.2247,-278.32892,-334.27997
17031.574,903.712,-3104.7942,-198.51543,-273.88544,-78.63895,14151.519,-5785.1963,-4944.602,285.62787,-208.29874,-262.44177
16895.242,789.5189,-3095.8325,-176.68747,-127.346664,63.93619,13962.903,-5708.37,-4882.5684,278.37234,-261.17993,-266.87903
16807.518,910.2954,-3024.2893,-86.11925,-255.74886,279.27942,14005.891,-5788.0415,-4900.0107,258.58917,-443.19882,-268.98312
16560.863,783.68524,-2916.6143,1.160006,-340.4336,249.978,13991.2705,-5818.2188,-4901.875,234.42688,-468.8309,-311.58707
16583.564,618.67084,-3017.1448,-229.9253,-268.22504,-42.16815,14147.813,-5817.8726,-4999.158,258.686,-218.53891,-315.47433
16533.453,671.2011,-2939.0603,-165.20226,-147.49838,-268.0716,14031.851,-5806.0693,-4945.005,333.12,-13.051935,-339.96304
16848.332,707.8729,-2977.8481,-154.99205,-331.54022,-160.21033,13955.416,-5692.746,-4995.5557,318.0091,-54.67122,-382.78842
17160.934,865.30914,-2997.3247,-413.95462,-10.919416,12.50131,13907.555,-5847.341,-4792.841,348.9442,-228.03932,-376.25974
17271.9,807.749,-2928.465,-671.11633,-332.7025,449.41104,14338.0625,-5856.117,-4947.889,336.78903,-506.97174,-466.65942
17200.85,975.5707,-2763.3782,-742.07556,-149.32576,455.66556,14465.219,-6011.0605,-4793.3306,422.1488,-607.39026,-356.9732
17287.24,1083.6378,-2642.2761,-1023.25977,-51.17185,661.5143,14394.182,-5938.064,-4807.8423,357.1797,-603.3395,-340.23264
17614.15,757.0769,-2885.1023,-320.87485,-448.54184,1116.311,14309.652,-6056.526,-4624.0034,211.40631,-1274.0773,-103.95386
17510.158,952.38477,-2801.688,116.81194,143.20052,1321.5164,14575.688,-5811.317,-4997.676,197.44423,-1132.1102,100.08711
17387.855,915.3091,-2719.6182,587.0598,343.76016,1494.1846,14262.693,-5890.806,-5057.0884,180.60938,-1223.0198,251.15933
17100.95,537.29895,-3236.2917,1686.9219,1035.5138,1117.7467,14055.049,-5972.27,-5174.6074,182.417,-732.2397,454.54398
16695.873,-149.60422,-3952.7312,4830.1406,1753.2855,687.43677,13770.331,-5790.537,-5211.4443,224.85507,-637.6903,576.80804
16046.003,-121.52664,-3868.0352,6644.5903,1808.9756,446.28546,13761.4375,-5694.1914,-5430.0396,295.7171,-942.05426,561.4471
15479.36,-290.90915,-3903.6484,8087.8164,1618.2719,-214.84955,13529.551,-5767.547,-5314.723,337.83493,-578.96936,555.82404
15225.064,-166.8468,-3522.7244,9791.798,1029.2947,-454.94745,13021.959,-5663.2617,-5152.337,336.10092,-589.866,124.707954
14570.491,-462.1687,-3285.3838,11013.243,274.1324,-345.94562,12581.356,-5701.1523,-5000.0337,392.4199,-764.8849,-215.86613
13344.503,-909.3663,-3884.408,11735.689,-1558.5317,-478.11804,12773.856,-5721.0923,-5057.4443,404.2194,-860.33514,-733.1418
13637.687,-155.30649,-3370.8308,11606.77,-3835.5935,-1412.7263,12886.0,-5560.076,-5182.923,637.2187,-157.28906,-1414.3643
14260.393,1252.8997,-1314.0626,11569.569,-5757.186,-1150.8217,12636.8955,-5241.824,-5580.5063,1066.4703,328.9144,-2220.5154
15623.767,1048.9415,-3928.574,11285.242,-5298.2876,-1335.6299,12502.603,-5844.248,-5881.868,1785.2523,1016.4206,-2496.449
16451.625,1209.4714,-3749.0166,10555.654,-4023.2334,-2009.0393,14338.085,-5087.9775,-5646.4165,2193.7822,1507.9851,-3046.3418
17950.918,1776.4828,-4702.3735,7327.682,-3355.6804,-3794.8599,16553.633,-5057.905,-5738.0405,2375.7007,2362.3604,-2366.2097
19023.027,2976.8303,-4156.3813,6432.4565,-2637.973,-4975.5537,16035.247,-5399.2563,-5293.547,2582.7856,3390.7783,-1976.5559
19828.186,3428.6694,-4471.557,3774.2087,-1542.004,-4142.017,15436.451,-5962.6284,-5024.819,2837.214,2288.683,-1174.509
18932.865,3349.9424,-4791.445,3054.8118,-739.6051,-2572.031,15190.03,-5919.6943,-4584.982,2507.4648,997.4714,-1154.8971
17650.736,2939.829,-4300.1265,3631.0823,-633.86584,-1828.8348,14994.209,-6258.8853,-4067.4412,2540.608,63.83695,-1006.0528
16760.584,3535.2764,-3613.9243,2820.0283,-499.83224,-2638.0337,14539.165,-6160.656,-4168.089,2668.0415,497.13336,-1140.0131
16794.443,4032.7195,-3415.495,1211.5005,-429.28537,-3008.5186,14174.148,-6092.6987,-4141.7827,2795.3948,1016.0476,-1339.4532
16560.195,2917.4321,-4434.0645,1659.6334,-255.46165,-3076.9128,14606.881,-6245.7495,-4068.8335,2964.8606,709.01416,-1467.3416
17285.404,2670.3147,-5232.4155,5467.4624,301.85797,-4426.455,15732.274,-6281.884,-4759.444,3554.3618,484.11533,-1095.2595
18875.537,3084.2478,-5585.89,5741.934,424.54755,-6345.9673,17423.945,-6147.4165,-5339.3843,4162.4004,464.7497,-439.28616
21893.365,2323.414,-6859.9307,7044.3335,1149.62,-7437.8906,18163.809,-6778.895,-5748.3086,5191.8047,384.2471,598.42426
23246.424,3427.5366,-6778.3115,9749.135,1950.6754,-6779.577,18594.232,-7185.7983,-6481.132,6643.1763,-246.4955,1782.2241
24798.352,5188.661,-7447.2197,11370.375,4550.9556,-6672.1064,21103.244,-6821.277,-8814.609,8236.169,-359.60934,3423.4539
28837.031,5072.794,-9005.553,11689.03,7442.3955,-7845.9214,20775.406,-6873.3086,-7824.544,10303.504,-556.52563,5871.205
29681.816,4046.847,-9032.421,10827.45,12004.954,-6497.8535,17208.072,-7230.2974,-5205.2417,11949.027,-2203.514,8329.718
26203.016,4331.232,-7590.2393,10547.107,14437.573,-939.4145,13721.569,-7910.0283,-2642.5085,12429.896,-8468.636,9549.694
22201.957,5392.5684,-7081.3384,11484.456,16360.414,5554.137,13230.272,-8127.9946,-2721.3909,12887.087,-14151.789,10224.6
14634.209,3803.624,-5667.832,12548.695,16383.147,11619.149,9848.8125,-7587.756,-2313.5774,11022.747,-15824.121,8248.894
13198.35,6999.7773,-3783.2668,13375.189,18253.717,13317.062,10470.689,-8335.444,-3296.9124,10859.646,-19022.113,8036.0684
7100.9854,8337.309,-953.1695,14649.453,16862.334,11974.14,11866.433,-8182.6772,-2553.3064,10374.971,-18964.275,6788.5474
6688.8906,9767.124,2989.4438,13280.011,15300.674,9262.412,10589.43,-7835.3647,-1194.211,9231.454,-15560.646,6117.5073
7662.088,7707.5356,2015.115,7058.816,11315.623,6410.553,10871.038,-7884.7295,-1794.9995,7225.9214,-11175.8545,5373.982
10239.698,3598.35,-165.8953,2511.4294,9242.97,7464.307,8028.763,-8314.216,-1918.1228,5532.834,-8218.181,4834.755
9998.665,1984.6886,792.58417,3232.8525,5960.0347,6938.7476,9176.183,-8560.684,-2881.7253,4472.26,-7648.001,4633.508
