ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
-13045.552,6814.5303,2130.4941,-226.89323,-324.75232,26.454113,-9900.416,9059.345,7743.042,482.34982,-201.32175,-241.15608
-13087.45,6867.157,2226.9019,-159.50777,-216.28024,27.824512,-9976.776,9181.304,7830.757,513.4835,-117.156715,-234.2242
-13010.065,6791.9194,2160.1821,-271.54474,-169.31792,96.01812,-10059.245,9203.343,7730.8657,456.056,-106.90415,-204.84242
-13181.921,6761.785,2224.1584,-98.87609,-76.57466,53.29176,-10159.574,9198.689,7858.5283,458.387,-151.638,-190.09648
-13104.669,6830.0635,2220.3525,-53.071785,-203.09335,29.430727,-9972.09,9210.807,7808.764,417.84958,-194.11694,-201.9034
-13111.391,6957.5205,2079.1912,-223.47348,-290.05322,53.631493,-9977.178,9203.505,7763.547,380.38266,-190.31235,-227.73227
-13253.835,6939.5464,2278.1072,-208.90814,-271.9675,67.16528,-10205.924,9176.9,7809.094,315.2457,-285.82657,-222.21382
-13093.616,6799.212,2201.8965,-136.73836,-212.60556,-13.744757,-10070.576,9140.278,7776.8237,269.95444,-217.43929,-225.92043
-12981.901,6745.588,2239.235,-93.93544,-132.03932,-63.83955,-10040.864,9253.627,7749.9336,268.38666,-172.41084,-286.71313
-13006.968,6825.0293,2213.3257,-83.552315,-208.12447,-20.947739,-10163.779,9087.98,7704.912,279.7902,-285.83325,-322.64236
-13144.105,6743.602,2282.8892,-109.11767,-253.68921,-48.522346,-10010.798,9183.163,7726.7734,342.45276,-364.6155,-325.3522
-13051.916,6716.0396,2206.093,-103.78666,-167.06532,6.6028976,-9996.91,9138.182,7656.742,372.60248,-230.32054,-344.34033
-13052.887,6788.169,2095.3616,-93.45191,-59.287045,90.93751,-9911.35,9056.296,7720.529,427.0309,-65.4351,-356.6149
-12934.513,6782.2153,2221.93,-46.15357,-2.002427,56.966843,-9958.998,9136.912,7732.1445,495.91385,-42.794712,-361.92337
-13223.653,6840.1113,2268.889,-100.06375,-109.54138,18.967323,-10071.518,9176.938,7812.548,592.8776,-131.11636,-349.26965
-13171.231,6824.0854,2221.8723,-280.5387,-167.58157,77.37642,-10033.905,9159.63,7766.215,654.8213,-155.73877,-288.83658
-13000.358,6889.417,2029.6327,-54.756115,5.983164,113.53725,-10019.652,9262.228,7630.152,667.8376,-75.64411,-244.32153
-13104.143,6863.654,1981.5613,16.635857,61.72773,101.2546,-10238.205,9157.549,7562.1787,589.7881,112.34558,-240.54456
-13212.38,6725.771,2519.6733,2.87593,-200.70457,63.453854,-10313.661,9145.417,7677.008,604.1424,-178.80522,-280.38632
-12913.349,6674.7466,2116.8313,73.7413,-307.16873,91.15169,-9998.665,9096.549,7760.1274,569.9814,-352.55673,-324.30127
-13077.804,6915.767,2140.0632,190.16309,-133.31746,11.928272,-10175.847,9299.271,7622.195,471.61877,-273.50934,-275.30402
-13219.713,6835.1304,2126.291,84.87373,-56.294945,-44.891815,-10153.96,9254.829,7759.266,437.29553,-272.28088,-277.8654
-13133.751,6835.9517,2175.9448,-65.56932,-41.42408,-18.539984,-10087.7,9214.717,7849.777,420.6496,-310.50107,-295.08945
-13152.6455,6860.6025,2192.2917,-152.33469,-312.38748,-64.2823,-10112.678,9331.955,7628.22,365.6472,-398.20013,-269.28085
-13159.594,6998.4976,2001.5266,-6.128155,-386.97983,-121.99391,-10078.404,9318.136,7545.2563,250.12715,-445.53204,-247.00992
-13099.108,6837.8545,2161.6653,-33.868008,-350.98734,-70.66442,-10063.609,9193.827,7664.997,170.77351,-314.76303,-240.08958
-12937.432,6868.58,2149.5708,-119.86545,-167.02925,42.654503,-9958.158,9128.52,7792.794,156.74548,-183.39684,-272.503
-13061.331,6792.9736,2147.0447,-151.22458,-120.8199,-24.740929,-10178.282,9105.769,7838.0186,218.65376,-278.70047,-302.56448
-13217.165,6892.133,2229.2551,-259.0525,-239.79231,-77.62774,-10097.117,9163.985,7523.294,291.1399,-352.0818,-298.8401
-13201.227,6949.7773,2075.478,-287.9495,-287.80774,-3.5712736,-9990.763,9233.084,7493.443,326.91476,-328.13718,-308.1494
-13415.411,6886.3833,2108.2656,-139.73227,-266.89517,29.15109,-10315.426,9266.668,7604.118,274.2657,-400.5789,-249.0972
-13354.272,6980.8623,2073.1582,-197.1857,-485.2174,53.08887,-10155.007,9238.237,7556.27,203.72104,-445.9182,-175.9744
-13095.847,7191.5933,1918.772,-457.53848,-620.58105,75.92726,-10038.011,9513.602,7609.376,47.61372,-455.27173,-105.39678
-13222.24,7182.7896,1827.867,-740.2659,-635.52637,41.716408,-10178.068,9552.325,7465.967,-216.38052,-491.38577,-65.73761
-13421.285,7117.2603,1660.517,-946.1889,-774.7418,1.9177407,-10424.409,9585.719,7763.767,-465.44037,-551.9893,-79.33301
-13833.166,7195.5337,1420.5583,-1276.9257,-1035.4421,-124.97382,-10589.216,9636.63,7608.9453,-808.7639,-671.9075,33.623444
-13643.493,7150.6523,1416.4359,-1803.7473,-1421.1455,-97.13092,-10386.814,9556.36,7871.9634,-1208.1819,-846.0967,123.8684
-13443.678,7030.89,1940.4117,-3041.029,-1173.5481,108.232605,-9680.543,9551.074,8265.798,-1928.1984,-203.28156,127.237915
-13141.085,7101.764,2299.0935,-4558.889,-1190.6333,211.49738,-10045.335,9444.335,8193.252,-1960.9014,-86.944336,76.84602
-13343.985,7081.4966,2612.7485,-6263.6455,-1081.7212,170.13408,-9685.476,9543.998,8256.105,-2166.2283,-462.17908,68.9643
-13986.484,7187.1357,4318.077,-8348.805,-664.69495,1391.6715,-8676.946,9151.241,7871.6504,-2208.404,395.593,-90.54665
-12034.44,5699.2227,6542.007,-9942.544,-522.50024,2464.4849,-9960.406,8781.417,9262.146,-1206.6045,-916.6297,-919.9408
-10121.704,4102.9556,7822.5703,-8342.541,2991.514,2577.9644,-8398.184,8844.032,9553.865,-270.42676,-2936.8523,-2015.326
-10166.748,3202.3398,8856.428,-3692.6235,7790.934,2561.8513,-8254.277,8354.69,9439.173,1071.706,430.7944,-3092.7852
-12333.358,3747.2234,8810.597,-2264.0798,7258.2456,1377.4359,-9262.581,8259.788,10170.054,2352.921,1709.4678,-3881.5317
-13172.815,3376.8481,7808.3037,201.87006,5416.945,812.4495,-9552.46,8073.218,10447.174,3481.7659,1052.3639,-4746.018
-13260.755,3886.4255,6060.2637,1963.691,3086.635,756.6727,-8652.792,8322.301,10520.714,4438.119,328.77707,-5624.894
-12040.235,3991.2937,4977.1006,1996.0876,3819.259,1260.7825,-8270.648,8317.568,9656.256,5418.6313,1968.5686,-6364.2456
-12346.752,4927.275,2844.5352,3147.8691,5479.5366,1899.6593,-10085.349,8646.412,8675.599,5906.517,3842.6472,-6690.871
-12719.335,6333.766,187.97336,3186.4688,3412.7036,1082.0226,-11560.614,8854.663,7753.1455,5691.4766,1830.7323,-6882.1377
-13757.822,8099.6157,-566.31226,-935.6104,3939.0767,2117.393,-12124.115,9538.772,7000.424,4671.5474,-74.50727,-6837.109
-15025.938,7367.246,-1658.6921,-7042.4097,352.4085,4249.9424,-13182.002,9683.762,6070.3086,3387.9,-3273.883,-6842.072
-11113.669,6717.026,-550.80756,-9296.228,-1660.1499,2573.6812,-12064.059,9554.338,5944.1655,2455.7295,-4295.675,-6435.4014
-10658.83,6794.3936,591.9376,-7042.0503,4706.7593,3335.6294,-12132.435,9562.776,5971.179,1916.2006,-1343.9393,-5823.8784
-11966.566,7484.1787,184.8115,-7270.659,7952.524,3429.1775,-11660.262,8604.309,7459.1714,1879.4492,295.82684,-5806.8926
-13588.832,7931.9697,599.4957,-10135.568,5596.985,1999.0378,-12627.787,8338.224,7666.377,1993.5087,-1620.5374,-6200.63
-13160.859,6066.5835,1364.4789,-13552.885,3518.3284,2237.3977,-11757.563,8168.383,6660.106,2095.8245,-4112.3623,-6258.9795
-12914.534,4418.4395,2479.7114,-9170.836,3868.4888,4228.2056,-12290.066,8231.178,5733.7603,1963.1731,-2822.031,-6023.268
-11951.069,5600.9824,721.1018,-9929.366,4306.121,6128.395,-11651.024,7593.98,9044.069,2473.6316,-2539.1516,-6451.8774
-12675.238,5944.667,2048.6357,-9507.582,2344.4443,3619.1487,-11031.977,6438.4727,10543.779,4065.3398,-3348.359,-7165.531
-9452.596,6622.031,2335.3098,-3323.2634,-2301.6326,-3628.4333,-12924.182,5756.855,10390.51,5941.3154,-6206.5728,-7098.8516
-12123.529,2026.5139,5253.32,3295.9683,-1641.2927,-3697.218,-11734.64,6988.165,6541.696,6344.312,-6840.197,-7398.4814
-12541.601,3308.9402,3332.028,8598.084,-4177.4443,-3903.8628,-13105.83,6584.898,7616.4434,6583.4023,-6018.1294,-7740.527
-11726.736,5259.667,-27.49923,9030.088,-3340.9219,-5105.221,-11890.915,6071.5664,8085.569,7292.6255,-6042.1357,-7921.789
-11670.946,4833.569,5.770474,6930.029,-576.36304,-4532.3647,-11217.245,5832.0493,7282.328,7934.031,-4023.9548,-7693.7866
-11858.299,3130.7695,-722.67584,9429.44,2600.3916,-2629.1375,-12451.728,6326.3154,5352.845,7991.4004,-335.89853,-7504.7583
-14004.455,7168.654,-4796.8936,10412.211,3208.248,-1686.1506,-14200.786,5873.7856,6588.6274,7655.9424,1443.6738,-7403.38
-14886.732,9631.037,-6651.367,8636.534,2544.4004,-2684.686,-15521.456,5338.374,5538.8135,6812.482,-240.54433,-5905.33
-15656.731,10765.689,-7985.9116,6637.4316,3712.711,-1607.7815,-16026.042,5451.1396,4084.0098,5654.7373,379.06577,-4708.167
-16545.469,10121.096,-6668.062,5111.026,3887.458,-339.31766,-16781.248,5923.5728,3489.1772,4197.7305,1145.8723,-2875.2512
-15469.888,10112.194,-5503.0747,3804.8674,1556.4805,168.73474,-16599.715,6480.019,4277.3403,2730.2917,403.91855,-1914.7683
-14218.276,10004.497,-4260.0713,630.8414,385.8072,-1358.2177,-15052.921,6862.0938,4784.674,1383.4492,-1046.3127,-1024.563
-13600.85,8975.247,-2144.3794,514.8944,720.5552,-1200.7235,-13904.478,6961.6846,5081.5137,560.9147,-1061.126,-585.8682
-13318.532,7958.0996,-860.21625,430.37756,-16.456797,-907.7985,-13312.392,6943.074,5417.763,143.10367,-415.37674,-393.63083
-13611.072,7919.8643,-347.6198,485.378,-241.7356,-327.54666,-13205.449,6810.55,6130.171,-166.06277,202.73169,-128.6781
-13053.62,7738.602,-574.37683,87.720795,103.64615,-62.368427,-13379.325,6668.66,6700.827,-57.015,370.05554,-278.93134
-13529.536,7779.5312,-571.3174,-682.38684,398.08832,-478.30167,-13549.398,6345.9897,6621.604,-79.64882,129.3778,114.002014
-13982.583,7784.519,-766.6635,-751.36,325.11768,-44.263237,-13737.819,6391.245,6333.8506,-264.22916,79.68789,464.68372
-13787.215,8021.978,-1123.0247,-243.42207,546.6114,479.0353,-14098.278,6368.2734,6150.7407,-345.94913,414.92328,753.8434
-14743.067,9604.869,-2073.8213,-609.19135,-523.03644,-382.60254,-14777.762,6172.81,6056.3774,-673.69495,-506.98782,1089.9642
-13969.475,8745.624,-1903.0963,-229.27103,-1327.0436,-801.7419,-14944.489,6297.228,5613.8335,-955.7534,-1410.5483,1895.359
-14314.239,8884.731,-1687.3331,2050.5928,-690.7167,169.59828,-13874.469,6420.281,5769.1143,-1329.8065,-214.04712,2629.946
-14216.655,8875.945,-1986.2083,3173.803,-598.7588,1002.78375,-14567.574,6500.048,5691.135,-1787.887,835.8345,3110.8074
-12851.99,9847.278,-2322.254,5722.844,-1233.404,-365.02246,-14530.918,5989.7334,6590.105,-1891.5718,752.1816,3676.9548
-10153.06,8241.515,-4145.9565,10608.929,-1602.9862,-5364.36,-15298.046,6653.974,5462.8906,-2234.0703,1456.0731,4790.526
-13291.274,8758.821,-4675.011,12520.03,113.05912,-6641.4995,-14306.398,7030.275,5098.7637,-3256.477,1005.9788,5484.1904
-14621.568,9306.493,-5542.146,6763.2417,-1025.79,-5624.6973,-13373.046,7133.5815,5401.328,-4309.5176,1637.1976,5854.2607
-14900.683,7877.253,-4202.6016,1175.6572,374.55408,-2262.4802,-13444.057,7253.1904,5350.2954,-5237.327,2688.2405,6160.765
-14656.855,6130.151,-2517.4133,-699.1972,-1975.5394,-2212.0674,-14358.883,6933.1675,5884.1455,-5968.043,1022.91785,6505.9395
-15338.27,5820.411,-1805.4674,466.42554,-6112.488,-4065.024,-14243.027,6678.314,6415.4585,-6444.4185,-2207.8823,6683.291
-13923.627,6720.5293,-1701.3313,-1703.4442,-9977.314,-4642.9126,-11407.258,6710.459,7477.7446,-6231.2646,-3643.9255,6782.205
-12307.619,5361.6436,-1377.7869,-3862.0925,-7463.9175,-4094.2468,-10887.316,7094.025,7762.8916,-5800.8364,-465.41727,6847.42
-13457.9,4143.299,354.79855,-1593.6577,-2962.8247,-3398.329,-11204.675,6963.849,7676.639,-5480.684,2770.473,7017.967
-15658.346,4962.964,1260.0978,-2081.7222,-191.12135,-1797.165,-10751.384,7072.631,8580.066,-4987.675,3089.0647,6512.8003
-14631.465,3346.7375,2632.2341,-1403.8619,-306.6409,-165.66333,-10524.601,7238.7354,8284.644,-4379.648,3255.8884,6081.397
-13167.293,3416.715,2717.0828,945.8088,-933.74384,-406.1237,-10414.481,7392.6416,9475.415,-3856.2341,4148.6177,5679.7344
-13456.427,3719.4004,2828.8857,1549.7716,1177.3763,-999.6146,-11066.578,7478.6167,9626.515,-3180.8909,4166.2954,5457.6665
-14959.265,4544.582,2699.3406,1091.8457,1761.4741,-798.63727,-10587.945,7786.4004,9226.34,-2474.2444,3915.3328,4857.5396
-15202.132,4371.854,2959.7585,646.78564,3633.2012,1115.1486,-10596.198,8050.542,7979.51,-1985.5233,4577.363,4461.5874
-15012.561,4949.2817,2621.0957,1096.1831,4703.82,3095.1758,-11291.963,8237.195,7485.1406,-1857.1919,5397.227,4113.771
-15135.722,4914.7603,1509.4199,768.11743,1565.6807,3392.9287,-11846.715,8097.989,7926.0947,-1959.2572,3512.712,3705.0251
-13341.584,5075.744,1173.4507,-294.54108,-2794.6133,1881.4495,-12679.417,7980.9355,7467.419,-2224.6167,518.3539,3456.9756
-13123.015,5198.7026,170.0899,-943.1843,-4599.7046,741.78424,-10825.674,8275.404,7258.677,-2510.01,-431.77914,3375.6362
-12595.291,6097.0044,-378.55737,-1408.013,-2741.2837,857.574,-10204.869,8460.752,6968.8574,-2616.3752,1122.4324,3217.5945
-13017.175,5619.8374,403.848,-886.0737,-13.482192,1371.0192,-10322.894,8858.797,6742.932,-2720.3455,3135.9663,2705.46
-13925.263,5159.253,2446.844,125.07776,-4354.16,433.07278,-13127.285,8890.444,8688.542,-2415.6963,-1292.6189,2242.804
-14636.729,6098.681,4016.8403,-715.0498,-11199.949,-803.42804,-11624.712,7618.654,8852.934,-2211.395,-5394.1147,1791.2582
-14514.274,4934.394,4459.1055,-1135.5897,-13239.343,-708.5057,-11154.037,7953.852,9588.613,-1434.3425,-6837.695,1775.9058
-14374.905,5592.217,2591.2896,-576.50854,-13068.419,-803.96265,-9725.595,8221.328,9777.155,-622.18414,-6270.404,1491.2511
-11727.049,5648.7905,2739.749,-3510.5862,-8615.149,-66.687065,-7708.3784,7611.1562,9732.175,442.5705,-5008.856,1508.6753
-11821.597,5118.3057,2909.1729,-2540.7134,-3934.3276,1017.59064,-9297.047,8318.379,8102.438,915.1521,-1528.126,854.55035
-11793.638,4960.835,4196.0996,-1082.1672,-2624.376,313.7451,-10693.514,8674.825,7494.98,844.3224,-1832.1368,299.07056
-13187.284,5555.474,2453.9946,553.6039,-2203.1553,132.96022,-10058.004,8490.371,8279.756,453.88095,-2557.545,33.41555
-12872.57,5570.4614,2639.7632,238.4079,-1867.5824,317.7465,-9589.698,8501.3545,8360.515,503.39465,-1885.1375,-43.31317
-12883.056,5749.383,2916.0393,743.4193,-1015.01544,524.85596,-9355.813,8457.1045,8256.888,573.1456,-1228.5573,-251.39828
-12900.761,5673.5425,2888.6936,697.8588,-1069.0256,391.4688,-9983.937,8586.257,8328.062,566.69794,-788.8321,-211.83684
-12902.014,6027.2886,3106.185,472.66513,-814.79144,338.24316,-9731.5625,8812.989,8051.7935,564.85284,-345.62497,-236.4909
-12924.996,5991.8975,2910.579,891.31616,-331.1102,452.48166,-9791.908,8993.3955,8071.546,493.55457,163.42082,-198.13277
-13016.369,6043.846,2979.5085,785.4353,-12.0581045,553.25305,-10154.847,8787.155,8267.919,460.2717,378.6459,-141.80019
-13287.116,6180.004,2816.0154,328.70047,-4.746456,675.79346,-9868.075,8759.26,8343.511,474.3226,516.3442,-178.08153
-12906.187,6043.011,2926.7866,-71.57654,-139.35603,648.2528,-10098.985,8829.084,8406.103,478.9436,438.93768,-233.80904
-13154.087,5993.0117,2995.8105,30.799929,18.251719,423.4728,-10382.628,8874.546,8474.117,407.93735,-49.196583,-206.13736
-12890.994,5898.045,2956.6384,-65.45457,106.6976,297.60788,-9913.66,8629.649,8550.834,482.1745,-108.14869,-310.2499
-12933.024,5955.509,2943.6294,-298.53223,-4.7442503,39.330112,-10175.327,8728.318,8322.157,557.76654,-138.69759,-391.8906
-13205.983,5973.846,2905.2292,-400.12198,-213.32114,-72.45739,-10468.241,8657.082,8349.051,677.59216,-468.0501,-488.0973
-13400.581,5960.3667,3117.1643,-99.1247,-496.69202,-88.1748,-10031.053,8667.327,8093.5586,705.08105,-722.6556,-484.61853
-13117.369,6160.9307,2539.509,110.4015,-440.59045,14.051264,-10036.533,8777.386,7793.5015,735.9139,-408.57416,-493.66818
-13215.331,6051.499,2800.856,95.25198,-166.97131,77.78078,-9820.599,8704.044,8061.1074,762.63416,-117.56318,-493.9667
-13117.788,5738.025,2598.095,278.55634,7.403642,110.7775,-9930.776,8642.443,8254.5625,775.8871,-181.22365,-474.69778
-13104.807,6037.345,2697.8938,107.523796,-60.425106,121.13159,-10138.029,8735.334,8011.1226,733.81433,-93.58846,-339.63892
-13151.34,6071.827,2625.2446,25.413967,115.99589,108.39458,-10119.043,8820.311,8163.3994,748.2108,-46.946987,-289.45016
-13055.666,6068.1807,2829.4744,58.931347,191.48495,93.57115,-9993.945,8845.999,8074.3823,699.87854,106.06241,-280.58868
-13067.35,6122.067,2668.2449,-18.21269,281.27997,135.71907,-10254.423,8898.216,8072.5815,676.62085,-6.270028,-323.61465
-13163.524,6082.9175,2609.184,-581.0167,-10.546891,133.06563,-10197.158,8819.373,8109.0146,638.05145,-93.94248,-325.407
-13303.824,6008.436,2594.0117,-295.6461,88.23497,118.51129,-10209.572,8788.886,8025.4517,569.7853,-224.28807,-302.6759
-13106.464,5928.066,2592.2837,-315.01636,71.88901,133.03886,-10227.271,8728.925,8164.6606,543.41956,-165.20087,-282.89902
-13301.96,6038.803,2503.3047,-297.3703,69.351974,135.0166,-10118.789,8743.909,7968.1987,540.70795,-136.07312,-304.6749
-13231.024,6019.1284,2705.9004,-88.66655,20.582058,207.98634,-10071.043,8800.843,8087.336,481.16092,-73.40626,-332.09076
-13216.427,6096.038,2617.3057,-39.29671,-60.815254,166.20677,-10110.342,8886.54,8074.8276,508.88004,34.808838,-330.0725
-13127.666,6161.9844,2651.4236,-94.57315,50.94803,82.97521,-10291.568,8930.867,8013.814,515.5226,-12.41461,-324.38367
-13055.819,6099.7114,2536.0378,-47.2742,92.55566,113.58573,-10213.004,8829.633,7878.7925,437.99496,33.706,-369.62753
-13124.543,6141.4873,2544.037,-235.74039,59.081512,92.37897,-10381.838,8784.711,8114.989,407.67416,-77.595314,-354.76944
-13361.893,6128.2827,2608.704,-243.84427,-56.045933,33.039898,-10181.097,8747.963,8008.55,403.5885,-287.08878,-304.65186
-13039.411,6184.6826,2628.3997,-227.48024,50.47902,229.06644,-9942.878,8829.932,7834.8613,406.11594,-86.28736,-262.03326
-13002.88,6120.337,2488.8533,-210.41943,473.8373,403.915,-10046.515,8794.079,7826.157,415.4973,48.67202,-342.9541
-13339.568,5930.3887,2438.8796,-264.3029,290.78613,193.43333,-10579.932,8784.784,7946.985,415.051,-53.25898,-321.07123
-13483.301,6029.513,2684.866,-320.31046,-179.72935,40.421017,-10482.901,8722.981,8036.315,456.11984,-389.94165,-233.39813
-13288.493,6083.2295,2524.4297,-425.35364,-387.12976,38.54859,-10155.168,8668.746,7984.0015,514.9876,-382.05945,-182.68689
-12847.282,6057.269,2558.9292,-287.3672,-97.02255,61.546543,-9954.68,8762.988,7776.4717,497.53763,-86.12128,-246.85101
-12985.993,6020.9907,2497.8232,-66.86637,9.500451,53.09211,-10243.308,8804.154,7932.485,416.01508,30.851244,-310.4532
