ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
459.275,6157.2812,14988.786,-212.56319,12.642091,-489.35803,-2109.0176,4012.3137,13014.615,-596.1462,12.887607,-129.68616
382.86865,6062.4946,15039.634,-229.93764,35.837627,-536.8896,-2053.915,4041.6226,12928.452,-570.3181,72.67624,-112.40605
436.24374,6140.3354,14897.229,-224.5653,37.03622,-545.3163,-2127.6667,3985.396,13175.279,-549.40936,24.933887,-120.7756
409.95575,6183.677,14928.603,-234.7736,43.58896,-513.78296,-2139.2192,4005.8823,13013.109,-566.1212,-31.744493,-107.16263
360.08414,6215.757,14918.728,-299.97757,-40.93844,-544.41675,-2101.526,4012.1704,12970.649,-624.1998,-169.18015,-142.83136
361.87308,6087.1953,15025.576,-348.72983,-169.21152,-535.1002,-2067.7769,3936.4324,13185.728,-622.8506,-185.38657,-163.60359
381.04288,6118.139,15033.551,-361.0972,-199.67459,-528.76526,-2009.4419,3977.1646,12976.021,-613.63446,-269.47635,-139.61002
488.89023,6228.252,14971.948,-306.7509,-111.79079,-478.54077,-1999.0917,3928.578,12929.264,-577.6932,-416.07596,-110.62682
486.0445,6142.6396,15000.667,-252.09938,3.041732,-524.21875,-1952.6145,3992.3955,13012.954,-547.3496,-312.0018,-145.6074
377.75302,6129.0674,15051.126,-286.54343,25.773874,-575.2448,-2140.0515,4009.1985,13152.037,-520.25256,-291.32288,-147.80849
336.40668,6083.557,14958.71,-278.44513,-38.769295,-608.12024,-2180.0127,4063.127,13092.128,-608.0571,-331.4145,-177.45248
337.54388,6199.708,15048.071,-270.54407,-189.65881,-612.67725,-2095.5964,3995.2502,12973.049,-733.9027,-854.5506,-177.01698
386.12607,6164.86,14957.614,-223.39044,-287.64246,-530.2527,-1990.0988,3981.6672,12933.539,-783.42554,-1131.2014,-142.67537
598.6412,6232.303,15098.515,-195.52142,-309.81683,-495.4694,-1504.5697,4006.4707,13021.556,-572.566,-649.21844,-93.064285
734.82764,6220.482,14926.119,-231.00333,-129.03474,-580.45074,-1797.9242,3948.916,12964.889,-540.1348,-255.68901,-45.268307
423.53873,6037.3057,15113.158,-209.66594,-143.72957,-572.76715,-1993.2458,3885.6133,13099.729,-568.2214,-261.6736,-33.117313
171.28833,5784.192,15206.712,39.565277,-429.2973,-449.57837,-2332.2053,3962.589,13262.494,-642.6127,-712.88947,-10.629343
-113.32423,5760.5923,15557.562,174.03458,-997.14685,-470.7754,-2090.059,3943.763,13406.959,-510.37512,-1189.9484,-38.200184
447.91443,6093.774,15649.478,754.15497,-1269.7983,-541.1152,-1558.5216,3864.611,13490.558,-635.19147,-250.4429,20.317919
1221.5382,6437.8965,15786.172,1233.8038,-2533.4395,-497.987,-1816.9644,3762.4197,13664.957,-836.6583,-243.54858,-12.976494
1809.4236,6810.6465,15673.137,1826.3667,-4310.3145,-39.094936,-1509.2937,3941.3323,13551.893,-750.23065,-693.8342,474.72488
1799.159,7288.5083,17306.018,1724.2238,-8107.222,1625.8942,-1516.385,4096.49,13912.563,-759.895,-2057.1104,1618.8591
4281.9243,8477.06,18549.734,559.0817,-12243.238,2165.4229,292.09265,5299.757,14536.91,-2767.259,-3808.6052,2020.4827
5724.2007,9414.001,19756.693,-2841.681,-14218.326,3214.815,469.16275,4778.484,15056.669,-5621.6113,-8754.32,3105.1487
3827.051,6608.9106,15477.028,-4851.677,-14237.292,6324.074,1864.4924,3595.21,14154.465,-7845.767,-11124.161,4571.96
2715.2568,4964.2603,11860.802,-2842.4404,-14197.962,5933.003,-18.152702,2412.2297,13844.701,-8263.538,-14278.143,5177.2754
1892.0085,3189.0764,8075.6323,4112.318,-14171.505,4318.6855,-167.6774,1643.5134,11664.942,-6789.6133,-14220.279,6319.778
1399.0416,3262.7617,5120.342,13254.209,-14165.421,2872.9329,-208.25299,1372.2151,8854.914,-3820.784,-14223.665,6912.7456
5032.35,5742.361,4841.393,13997.856,-14133.947,2286.432,1700.938,1373.8346,6528.2065,-752.6695,-14137.208,7350.894
7093.637,7744.6597,5859.1694,14023.101,-14150.807,3786.2942,3530.5764,789.3566,6058.4736,909.0564,-14076.453,7256.89
