ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
-2856.6467,-3681.162,14674.38,-412.25452,-222.08846,-101.64372,2622.7886,5514.6855,14658.035,160.32704,-236.55586,-81.70203
-2746.7131,-3767.5928,14851.589,-134.18492,-5.249683,-65.57528,2419.2742,5581.755,14766.418,113.91527,-64.00038,-91.015495
-2873.4292,-3777.9307,15039.377,-29.500568,-159.00447,-141.00462,2352.3801,5544.125,14787.926,140.02773,-271.1147,-128.31297
-2880.5,-3597.9316,14687.877,-176.36055,-442.8512,-180.95418,2456.909,5569.364,14802.877,124.738716,-420.27267,-106.5777
-2951.8298,-3536.76,14552.874,-347.6995,-383.816,-107.50578,2464.9507,5556.326,14842.051,139.28267,-380.58954,-82.93037
-2831.4956,-3625.0615,14730.773,-436.11243,-260.28174,156.37181,2600.34,5509.5635,14686.2,60.14606,-132.02376,-79.354385
-2780.879,-3668.9966,14986.883,-160.1208,-162.47754,19.437717,2295.0105,5542.2134,14838.7705,86.35181,-133.00812,-80.9673
-2696.6604,-3564.9019,14623.958,-164.38708,-187.30997,-161.76648,2478.5557,5608.19,14832.736,159.35356,-368.75854,-64.82103
-2806.3872,-3651.9226,14440.599,-282.756,-189.25053,-205.48589,2614.797,5569.235,14705.635,82.00644,-289.73215,-66.26935
-2944.8157,-3711.5166,14530.67,-317.3111,-62.703957,-150.61267,2593.5574,5465.454,14778.722,104.249275,-143.47041,-129.11018
-2847.8303,-3762.5852,14761.282,-268.42197,-28.027246,90.45212,2524.3843,5517.1484,14867.664,104.976006,-112.322586,-125.99883
-2762.9705,-3847.4465,14820.439,19.57202,-47.15934,110.25139,2431.2568,5501.2817,14812.116,144.34349,-39.565483,-153.51831
-2894.7703,-3838.64,14972.124,108.21945,-281.9721,114.77899,2434.596,5476.027,14822.766,186.45033,-216.23682,-146.73148
-2726.83,-3774.71,14726.256,-38.393353,-287.46503,10.520916,2511.9116,5494.909,15040.257,201.21338,-299.63858,-168.24702
-2872.2375,-3626.3809,14395.521,-450.30606,-398.83752,-151.98201,2579.4673,5564.245,15025.027,244.74,-297.47882,-139.3098
-2854.2454,-3745.7083,14691.875,-573.3661,-217.5669,-113.096985,2563.6362,5587.365,14883.676,189.87733,-296.95306,-123.44242
-2922.3196,-3850.3975,15083.2705,-380.90686,-43.110256,40.146282,2655.9358,5633.119,14712.813,125.3852,-131.7226,-117.9509
-2873.81,-3775.1636,14936.161,-61.94325,45.558388,104.69163,2584.0266,5600.3315,14821.93,89.998344,-161.5982,-93.26513
-2570.8103,-3607.3728,14568.189,-150.84271,-2.2044334,-13.441491,2738.149,5635.518,14990.431,55.8887,-66.1108,-38.983624
-2617.1292,-3637.4597,14665.44,-334.58145,140.66385,-135.17163,2846.9277,5692.751,15245.473,-134.05013,-5.6416454,154.12328
-2624.962,-3682.1567,15082.107,-686.2412,705.43555,-477.83215,2834.7046,5510.814,15305.827,-83.16487,254.6853,283.87943
-3125.9119,-3503.0374,15606.667,-874.9092,1649.2487,-358.26318,2963.335,5569.637,15203.606,301.9429,1025.2086,367.32288
-3312.625,-3606.0059,15845.823,-737.39294,2396.7004,122.81193,2640.459,5507.943,15360.882,493.2017,1592.7896,518.8517
-4676.3325,-3032.0662,16075.473,4.21176,3900.8936,1448.5521,2723.2825,5888.495,16008.8545,1105.9724,2148.3623,716.4344
-4552.278,-2906.5808,15414.865,-428.98962,5324.3687,3270.0344,1761.0238,5670.0835,16737.115,1859.94,2058.8386,1097.3881
-5857.8594,-3112.792,16347.014,-699.8024,6644.253,4099.3213,1244.9646,5810.017,16827.07,2637.3035,2293.8228,1466.3774
-6800.8574,-3537.117,16976.797,-594.8957,6108.054,4345.062,444.0957,5805.3774,17102.895,3490.2224,1990.1699,1995.4806
-7607.8413,-3579.1628,17213.559,-57.33049,3714.9795,4924.55,245.86682,5992.166,17648.295,4447.48,297.94022,2367.7087
-6983.7144,-3405.5298,16964.498,595.14923,2174.5925,6161.0366,792.384,6187.681,17114.102,5298.539,-1032.5743,2686.1487
-6316.5093,-3461.6965,16728.057,1926.6475,2114.6975,7063.3276,1012.9081,6359.069,16759.66,5921.921,-1115.1276,3185.9556
-5841.9033,-3523.9768,16519.049,2974.436,2583.079,7353.9165,1406.4967,6604.135,16662.652,6540.677,-588.0027,3669.6333
-5537.65,-3168.087,15682.555,3009.9,2977.6091,7157.562,1547.2273,6877.794,16793.705,7086.1133,-116.77026,4155.332
-5595.2773,-3279.1675,15309.929,2054.302,2636.626,7059.5938,1477.14,7215.0645,16472.04,7377.518,141.59448,4541.8423
-5506.646,-3261.2131,15149.186,1806.5393,1723.8497,7226.883,1417.4982,7344.606,16062.139,7593.7036,-162.09818,4967.8975
-5432.313,-3516.847,14921.04,2212.9946,672.31006,7505.9854,1373.5521,7549.364,15383.454,7609.2114,-878.4091,5345.3584
-5143.256,-3527.0278,14671.044,2938.7268,305.23346,7938.4565,1763.0339,7486.583,14743.365,7641.986,-1506.6095,5683.765
-4156.2666,-3392.7456,14295.534,3177.5952,255.00989,8311.062,2404.8977,7923.5557,14241.321,7393.1426,-1068.9109,5795.019
-3434.5771,-3228.868,13101.09,3398.1602,770.5299,8200.014,2506.5225,8219.594,13918.681,6982.885,-506.95782,5874.9165
-2695.2935,-2891.5425,12460.714,3039.223,1430.7415,7873.423,2697.3738,8231.995,13470.619,6587.1255,212.1871,5897.053
-2595.4539,-2624.572,12270.961,2706.878,1892.4143,7256.117,2693.2378,8430.825,13225.473,6029.3403,669.1616,5845.7197
-2548.3743,-2529.45,12791.257,2578.3904,1215.5333,6610.903,2540.3496,8584.805,13149.7,5322.7603,139.37457,5532.1016
-2298.642,-2593.4678,11872.926,2152.528,92.97734,5653.695,2765.6147,8568.087,12677.943,4762.926,-611.907,5134.222
-1911.6373,-2047.4302,11715.368,1746.657,398.35236,5193.5522,3134.2097,8828.121,12356.944,4116.552,-565.903,4858.227
-1787.4401,-2053.6982,11630.276,1531.0355,888.9289,4980.803,3007.3945,8791.906,12258.086,3307.5728,-397.21915,4451.9087
-2010.0314,-2113.5671,11640.785,1013.34106,575.7747,4755.288,3102.7104,8348.1875,12539.134,2887.3354,-760.2924,4003.1753
-1748.2139,-1539.7396,11388.223,-52.646294,436.40622,4287.3506,3251.1567,8551.143,12517.667,2481.5498,-900.1605,3628.1643
-1774.654,-1647.5769,11015.82,-1641.9523,130.71483,3892.8696,3588.9612,8518.205,12308.1045,1839.7046,-629.326,3340.6907
-1600.3467,-2108.767,11540.615,-2516.576,555.0697,3512.2773,3650.4978,8337.791,12162.8545,1361.147,-73.40596,3146.9963
-1810.4056,-2387.3494,12315.695,-2490.2744,494.87604,3394.0222,3775.0762,8516.091,12084.854,1024.9424,166.57697,2930.7078
-1868.0071,-2504.6272,13059.395,-2092.0886,-90.971855,3252.7212,3688.895,8530.312,12383.909,785.78534,-17.584867,2659.846
-1153.5367,-2369.554,13136.981,-1530.7606,51.069775,3243.6067,4139.381,8694.371,12550.655,731.20593,-298.74564,2258.4792
-744.7958,-1532.4586,13042.63,-1726.335,363.77048,2621.9927,4273.9053,8784.985,12821.37,738.1649,-162.95642,1897.8804
-615.8522,-1654.9648,12911.225,-1877.7052,240.44765,1690.9697,4415.102,9025.45,12520.664,563.85034,52.897953,1429.1553
-551.4788,-1439.6499,13073.69,-1820.4673,41.644653,814.5267,4406.954,9315.11,12364.147,381.4111,104.964676,1028.5337
-156.4701,-1474.3417,13004.959,-1721.2141,-604.9051,-482.91318,4539.3643,9319.118,12603.495,178.0521,59.539547,522.8383
-101.26788,-1006.43365,12618.284,-2149.229,-1191.7578,-2044.9796,4823.2715,9756.784,12782.376,-8.399149,-364.39862,-132.03696
207.5114,-1820.9446,13558.823,-2402.2605,-1376.2384,-4058.5823,4859.4365,9825.605,13160.171,-406.49414,-198.10512,-589.3363
1171.0907,-2839.368,15415.004,-1276.6407,-216.7094,-6435.1567,6110.843,9953.52,13277.921,-394.39767,-65.13158,-1498.8665
278.3152,-2657.003,16274.941,-31.562231,1485.9949,-6888.707,6874.76,10296.088,14264.011,102.608,842.3991,-2340.0403
-2143.851,-4368.6772,18276.305,2587.4773,1687.2236,-5799.009,5599.2236,10119.16,14498.351,1124.5703,962.7644,-2562.0085
-3411.2478,-6050.384,23871.014,11021.042,1533.5426,-3733.571,4797.473,10186.892,14521.162,2322.4277,207.2244,-2848.3538
-5034.1704,-9109.603,27603.371,23889.506,-993.9757,-2769.8796,3218.7585,9671.846,14126.054,3572.086,-613.42773,-3110.5566
-3766.9272,-8360.515,25189.098,23936.22,-7737.615,-5806.502,2235.5469,9913.507,15126.881,5660.4087,-3749.238,-3619.49
-7743.313,-4339.072,19122.965,24093.3,-14649.712,-4723.175,3513.4912,10898.358,14083.422,6494.1265,-5308.323,-3746.8215
-8435.75,1018.8586,10545.863,24274.857,-15278.081,1056.4406,5579.3403,10930.779,13087.514,6679.101,-5172.824,-3295.961
