ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
-2757.0378,8382.058,11784.851,-41.741287,11.930656,-179.60735,-4496.697,4993.48,14698.37,-79.55585,-131.27403,-163.55453
-2607.9775,8369.024,11720.549,-66.76955,5.4756255,-180.8506,-4461.8765,5013.2725,14653.348,-68.83474,-153.70425,-180.26358
-2660.3108,8428.6045,11768.078,-118.69171,-90.88692,-203.7222,-4432.137,5015.9497,14513.274,-80.59903,-125.69636,-202.19374
-2610.8057,8397.412,11655.036,-114.28295,-54.357784,-242.30827,-4498.931,4939.4126,14603.35,-93.90357,-122.73734,-215.16824
-2683.4607,8351.59,11705.885,-210.9788,-67.883156,-255.2775,-4501.785,5067.4673,14700.107,-95.30051,-165.95749,-211.36719
-2821.9094,8416.112,11779.545,-310.01285,-94.19683,-208.97678,-4481.0073,4955.4937,14565.708,-85.53179,-163.91399,-190.59291
-2696.0034,8340.621,11835.531,-187.41975,-143.33357,-120.014656,-4432.689,5009.331,14638.052,-44.183193,-244.78482,-180.01233
-2655.9785,8461.987,11761.531,-46.7919,-210.83807,-158.01765,-4475.71,5039.176,14670.913,-22.42394,-211.40836,-193.2671
-2501.1077,8559.079,11530.598,-246.678,-148.0424,-183.05423,-4366.398,4993.002,14763.196,-56.03481,-206.001,-228.40944
-2586.0483,8272.756,11946.332,-326.25415,-122.10954,-259.02023,-4497.3877,4994.8037,14525.249,-98.39616,-194.93279,-254.86143
-2606.046,8368.88,11857.947,-227.36002,-69.888794,-320.57468,-4477.712,4976.3594,14639.525,-116.97693,-147.95596,-272.7569
-2657.752,8358.197,11687.054,-175.78125,-59.38657,-302.1905,-4444.0137,5066.7617,14785.223,-97.44508,-63.56014,-258.52133
-2694.6482,8417.256,11749.422,-377.3389,-88.98571,-291.47668,-4426.3003,4920.285,14691.016,-55.402767,-85.97304,-265.32098
-2720.5667,8339.625,11820.476,-320.535,-163.45538,-272.67535,-4475.2744,5030.1006,14649.236,-58.150658,-207.68314,-261.26538
