ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
756.9616,3082.9895,17662.557,-314.21948,-10.218547,-531.79755,-2982.7058,-613.4998,15490.983,-682.12823,-11.280493,-162.77826
812.05023,3093.6487,17576.432,-292.13837,10.084628,-530.09155,-2875.4226,-615.88806,15438.04,-644.0943,15.178458,-169.67044
815.45496,3068.2507,17649.158,-298.4598,49.188152,-559.4461,-2883.9905,-613.87537,15357.204,-692.04126,14.754427,-206.57368
730.953,3049.0017,17606.246,-337.37338,65.88687,-564.56256,-2875.5815,-628.87854,15391.878,-697.4145,0.58964217,-226.18576
720.70874,3081.5215,17611.479,-316.95334,30.42637,-584.9825,-3000.8674,-536.6205,15393.829,-597.46313,30.720413,-253.62141
1018.10675,3532.2878,17549.773,-328.62192,388.50424,-815.7705,-2944.1357,-587.0616,15373.265,-602.3203,-24.911243,-283.9477
687.69196,2951.7058,17650.62,-369.45328,140.71844,-719.52344,-2848.4626,-635.8522,15321.383,-633.94543,-14.196217,-308.6785
643.2208,3217.7358,17685.709,-368.5153,51.40952,-587.98737,-3005.5332,-681.8423,15479.034,-665.83966,-117.91357,-303.83353
752.8322,2988.6426,17740.475,-328.4808,-21.578316,-611.2616,-2821.7207,-656.15173,15470.759,-633.1657,-171.75458,-374.18265
788.7043,2998.371,17595.223,-329.70636,-6.804809,-591.44165,-2791.3862,-639.8085,15393.999,-675.95856,-194.36375,-378.862
732.82904,3058.3542,17565.684,-337.74426,24.895905,-574.50696,-2763.3022,-665.65405,15421.3125,-745.34546,-153.68199,-368.72415
674.36865,2971.5127,17573.14,-322.02255,33.076794,-593.9951,-2804.4985,-670.68445,15464.682,-729.3674,-84.02447,-339.8702
689.2603,3133.1255,17653.1,-346.7443,21.225574,-560.6379,-2830.8982,-584.0445,15258.171,-727.031,-104.58082,-318.1296
683.59515,3067.36,17592.314,-307.6148,12.115024,-551.03143,-2875.6445,-660.3807,15256.04,-740.074,-135.44038,-280.94583
770.3801,3017.0547,17596.346,-324.93155,-0.24936938,-571.64276,-2850.0088,-613.0446,15327.426,-728.16693,-153.4324,-268.19037
759.7843,3025.2646,17500.213,-334.3047,-0.6524599,-565.1265,-2843.892,-741.04175,15471.131,-691.0274,-87.31106,-225.1922
779.5929,3050.571,17610.512,-289.7179,12.980881,-567.1545,-2838.203,-694.5183,15450.837,-677.771,-90.38155,-250.80948
649.5425,3020.7249,17554.39,-292.1377,32.466736,-560.4643,-2793.0732,-737.52655,15319.506,-668.39264,-83.46326,-242.30157
652.9385,3049.3252,17676.676,-292.89545,5.1243095,-578.20135,-2860.7854,-758.4592,15395.919,-633.2714,-101.83297,-217.77046
674.1587,3003.132,17672.086,-270.40152,-19.858662,-553.29474,-2805.1165,-734.19946,15516.105,-572.616,-118.22143,-224.16931
775.29517,3068.0952,17628.793,-283.5064,-33.016674,-575.78925,-2710.1934,-754.98376,15441.557,-589.9613,-117.50744,-222.25415
669.23505,2976.7905,17722.873,-296.5875,0.0585576,-589.905,-2820.3928,-780.76263,15517.977,-606.3894,-113.71801,-212.81804
630.3271,3089.029,17712.996,-305.2444,-24.147058,-638.0911,-3392.2349,-668.6824,15529.765,-564.9058,-11.213491,-281.32886
598.73303,2990.4812,17638.834,-285.54117,-109.11303,-576.12665,-2767.5989,-724.1514,15448.864,-632.9085,-298.6888,-198.69774
775.5057,2970.3662,17644.814,-338.9165,-7.6703715,-606.17633,-2273.042,-875.68726,15333.837,-721.16394,95.517,-89.39359
794.84814,3114.1443,17619.877,-399.03943,87.15922,-664.83075,-2506.9014,-682.9294,15586.102,-660.3813,117.65281,-113.7941
867.9749,3136.3406,17696.977,-433.66376,190.29214,-631.0682,-2673.0679,-746.844,15658.048,-718.6063,295.10443,-40.734566
866.05945,3027.25,17832.143,-477.0408,282.5131,-632.63824,-2598.1458,-656.17737,15593.2295,-781.11945,435.58035,-43.181602
599.30743,2924.8013,17826.922,-604.61835,438.22522,-671.5725,-2886.9585,-870.63055,15748.792,-754.3977,517.66034,-15.656395
507.01492,2903.6494,18137.404,-837.69,964.0046,-881.1321,-3101.1018,-895.6792,15732.303,-683.1446,686.6152,-45.62657
270.71793,2576.016,18167.13,-847.5638,627.95294,-726.49365,557.6616,-1596.9655,14708.5625,-768.00275,3662.1855,696.20245
