ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
-13714.643,2090.1553,3359.6223,-264.45645,-24.637396,76.20253,-11338.98,4207.0244,9731.978,262.3265,-165.32347,-376.01492
-13968.204,2056.87,3539.0874,-107.3483,0.61530906,64.298164,-12032.372,4105.5947,9896.076,249.12419,-74.08576,-362.24707
-13870.679,2175.8794,3190.3142,36.186665,-116.96875,-85.580986,-11778.676,4241.568,10113.834,339.90747,-389.4865,-276.52798
-13851.084,2152.69,3217.6592,-359.79446,-294.11252,-129.46797,-11640.897,4224.9062,9849.494,339.24246,-401.94925,-276.90814
-13759.252,1939.7866,3467.0964,-324.9649,-311.19794,9.714512,-11473.037,4254.245,9900.055,277.83997,-350.8272,-188.71782
-13776.288,1927.3738,3368.5654,-192.4003,-126.96494,64.59972,-11404.732,4203.789,9809.91,291.8364,-343.3336,-203.75986
-13437.568,1787.5087,3439.0867,-252.78964,-36.207184,178.06816,-11492.052,4203.3623,9903.075,263.4526,-147.8837,-241.44704
-13626.681,1746.6934,3632.1394,-215.0855,-232.52919,-68.71769,-11725.194,4064.7317,10025.458,308.06348,-248.71486,-300.5262
-13813.027,2019.8787,3341.4258,-165.6012,-281.44427,-151.34886,-11511.016,3999.6934,9950.191,412.0944,-493.51105,-347.01126
-13834.637,2122.8953,3160.3572,-205.6636,-187.8461,17.848223,-11606.645,4180.702,9903.499,440.4802,-329.16602,-337.61047
-13842.516,2043.0653,3450.8696,-63.69441,-93.995316,101.58504,-11803.032,4214.707,9912.961,322.85657,-67.98941,-291.56824
-13848.167,2038.0568,3537.2454,-34.749332,-292.2334,103.27562,-11722.222,4096.3213,9857.89,342.34018,-242.91348,-224.82863
-13515.021,2033.5647,3168.8633,-337.76385,-179.28015,103.63076,-11396.027,4218.1235,9995.216,344.82397,-280.02484,-276.09152
-13510.73,1888.884,3510.592,-302.8084,-56.42082,55.132713,-11466.376,4216.22,9858.322,279.40936,-242.19019,-265.839
-13676.291,1890.1211,3587.9888,-152.88914,-119.693054,41.19573,-11631.21,4099.2437,9877.361,314.82993,-324.0931,-224.15598
-13891.809,2051.1797,3324.4463,-116.58688,-123.21086,21.36697,-11705.916,4167.265,10013.917,323.1668,-263.99487,-249.80487
-13889.764,1970.5786,3422.7708,-96.79272,-246.53421,22.53932,-11595.592,4259.9673,10041.403,340.21344,-294.38174,-199.41794
-13754.956,2087.4097,3321.276,-247.87587,-80.329865,227.20197,-11403.115,4225.9473,9913.901,299.02222,-156.18167,-261.51962
-13552.063,2031.5804,3489.215,-92.46721,-50.36063,167.46768,-11669.495,4177.622,9887.134,352.17252,-92.680305,-264.85956
-13504.679,1882.4832,3549.196,-149.9512,-246.94096,-28.32379,-11541.95,4103.2515,9951.873,361.00244,-329.51764,-298.87842
-13653.35,2033.3348,3262.2273,-169.82356,-326.41858,-111.097404,-11561.629,4149.073,9824.222,390.23608,-476.57095,-345.5479
-13802.937,2088.9836,3294.5293,147.78232,-53.039326,-64.33559,-11500.668,4137.1807,9721.745,377.01108,-209.47148,-347.2969
-13864.208,2196.5198,3295.4001,-77.39643,-97.0598,65.17492,-11723.409,4046.0803,9879.419,345.19153,-86.14911,-317.01627
-14012.672,2236.984,3190.3918,-149.35793,-156.115,75.35169,-11651.922,4222.778,9931.889,359.57446,-216.26283,-233.45735
-13841.779,2049.98,3340.6216,-309.53616,-167.29807,73.19713,-11700.788,4261.323,9906.894,391.3714,-272.91135,-217.62741
-13813.01,1825.6677,3628.9868,-179.21555,-276.39203,92.11411,-11791.339,4021.9788,9909.794,310.28345,-226.4046,-195.78842
-13782.29,1833.7438,3338.5776,12.614536,-296.49213,27.48488,-11639.883,4268.6104,9984.486,443.33035,-339.48352,-199.38771
-13766.961,2008.0938,3665.804,-68.49417,-306.03027,22.488235,-11652.265,4181.6865,10060.026,393.914,-299.71466,-246.48482
-13586.759,2014.878,3358.8616,-168.98312,-394.03683,-81.761284,-11571.715,4143.3486,10127.744,439.43436,-390.86667,-233.22261
-13831.311,1913.9857,3268.746,-196.89447,-263.77545,-24.958088,-11510.703,4108.5464,9803.074,430.19437,-367.93988,-267.17828
-13742.468,1914.714,3434.3152,-207.519,-214.0122,65.530205,-11716.268,4116.7236,10021.386,400.29565,-228.90417,-297.67227
-14050.711,1979.7537,3703.1306,46.67402,-400.51303,-82.22692,-11936.97,4141.0303,9915.769,427.7359,-476.68222,-242.49342
-13873.03,2105.812,3244.3035,-228.13438,-531.42957,32.76327,-11514.162,4337.063,10066.027,435.041,-412.26196,-210.39122
-13518.999,2094.7249,3206.1685,-438.6059,-284.1689,36.027744,-11589.811,4327.3633,9839.572,390.92603,-227.10715,-204.48518
-13378.577,1973.4331,3113.1152,-446.30072,-162.60825,18.30177,-11544.433,4222.5015,9881.901,394.53568,-345.5471,-229.09282
-13729.229,1916.7262,3758.1917,-407.19806,-342.64493,-65.52978,-11466.266,4233.3916,9959.684,414.3992,-500.53885,-250.35931
-13718.33,1957.6877,3516.1042,-252.21321,-242.64305,-92.25103,-11453.608,4240.0806,9908.271,337.35614,-271.14285,-253.1101
-13616.95,1908.2692,3554.447,-265.15314,-423.29178,-142.15543,-11566.746,4220.1836,9946.044,413.90997,-318.25507,-283.03882
-13545.298,1906.701,3804.9062,234.47,-215.20097,-86.49923,-11431.476,4350.2344,9706.078,441.03992,-366.29416,-288.49832
-13478.825,2105.8057,3289.6475,357.21957,-113.256386,-168.74579,-11366.944,4205.642,9959.736,318.61075,-38.56534,-317.81323
-13684.552,2135.897,3794.491,29.593447,-280.44586,-263.71912,-11498.084,4235.7817,10068.595,314.4776,-168.55226,-303.08676
-13205.117,2116.0557,3975.0173,-196.93631,-318.5801,-260.15067,-11321.412,4211.7046,10016.188,322.7655,-319.10028,-342.6501
-13366.18,1905.0446,3947.6724,-120.18273,-52.005062,-324.20435,-11431.573,4239.312,9927.029,261.28253,-392.2482,-386.73373
-13629.627,2049.1177,3735.018,-176.98393,-171.54846,-288.36755,-11354.622,4152.9375,10032.255,245.88031,-388.30362,-371.5502
-13673.564,2010.5328,3746.1196,-269.183,-114.47401,-465.8942,-11497.035,4399.4526,10412.945,302.21616,-396.77808,-378.10583
-14017.545,1662.292,4219.3667,94.02196,-203.74109,-553.3926,-11659.0625,4215.661,10226.025,308.31134,-258.646,-333.79495
-14758.294,1982.2896,3848.882,271.34476,-372.85446,-543.46893,-12094.888,4412.1265,10562.427,463.07697,-253.69273,-199.73698
-15223.325,1822.5388,4120.8354,828.12695,-540.0263,-461.2487,-12568.074,4589.585,10884.603,703.61475,-522.1177,65.718666
-15811.413,2572.8647,4590.5015,895.23706,-1576.2094,-290.02084,-12952.411,4972.3203,11328.511,905.00385,-932.22754,412.77673
-16445.158,2347.6104,4854.66,880.31683,-2609.7615,-547.42224,-13242.125,5246.028,11653.286,1239.7981,-1782.8651,1022.3273
-17202.418,2267.7773,5818.6895,893.13873,-3730.93,-562.5747,-13618.109,5531.1226,12090.74,1471.1108,-2557.1714,1761.2963
-17820.908,1965.9857,6311.5117,1264.5463,-5430.7397,-681.4302,-14027.21,5828.654,12267.537,1823.1543,-3819.2566,2634.6135
-18409.002,2343.443,5986.0864,1463.4066,-7321.3506,-768.6698,-14327.865,5806.1772,13283.276,2407.995,-5184.9155,3565.8765
-18967.033,2397.7012,6541.5522,1512.053,-8609.229,-713.8959,-13909.339,6147.745,13744.034,3126.152,-5867.476,4322.9033
-19000.29,2795.02,6549.6553,1143.7281,-9799.669,-242.63043,-13740.86,6388.466,13786.091,3668.6094,-6172.9727,5450.681
-18146.229,2596.9436,7308.961,908.1494,-11275.376,108.64652,-13488.829,6806.0127,13548.038,3944.3955,-7008.8027,6666.863
-17309.988,2263.6335,7063.534,590.87115,-12875.281,244.24257,-13050.957,6822.458,13574.379,4381.76,-8112.805,7512.1104
-16206.911,2543.2666,6825.609,885.88806,-13369.263,647.9344,-11767.592,6733.617,13118.051,4708.727,-8812.38,8301.728
-15098.408,2848.1392,6059.239,-289.61224,-14399.634,722.5284,-10960.858,6684.0864,13033.161,5024.9004,-9231.914,8869.282
-13513.369,2446.7993,6634.083,-614.92206,-14149.858,1058.9362,-10037.906,6914.3774,11806.581,5004.27,-9206.633,9301.202
-12317.985,1843.6233,7382.919,-917.6437,-14181.654,1060.8116,-9586.912,6689.6196,11468.774,4848.026,-8794.604,9443.312
-11693.899,1642.9321,7827.8716,381.48422,-14693.556,1211.8392,-8608.067,6559.4985,10432.986,5012.8647,-9362.295,9141.546
-10104.707,1834.5757,6767.2993,1318.8239,-14331.995,1739.2222,-6986.213,6707.885,10306.453,5027.625,-9223.755,8659.211
-8484.635,2570.864,5877.824,409.98785,-13149.971,1881.6411,-6268.622,6893.576,10337.36,4631.576,-8005.8516,8191.58
-7765.562,2453.7244,6964.725,-155.65154,-12421.62,1515.4834,-6019.139,7295.84,9798.363,4440.829,-7460.684,7613.9585
-7155.549,1773.1183,7778.8877,36.169178,-11575.387,1114.9028,-5770.0566,7432.4355,9709.947,4047.3628,-7243.3276,7140.683
-6958.8335,1336.6665,8526.475,931.1005,-10429.271,1312.1895,-5003.015,7270.107,9291.257,3779.133,-6901.0063,6308.421
-6266.0176,1752.9781,8672.632,2559.6455,-9666.252,1481.7948,-4412.3438,7569.96,9393.397,3345.6794,-6723.631,5450.8916
-5251.136,2250.3157,7287.313,2053.6206,-8936.396,964.0931,-4097.046,7625.1743,10133.568,3053.367,-6065.436,4677.0903
-5309.2803,2509.298,7655.297,1346.3916,-7747.6543,453.5881,-3457.187,7665.797,10004.699,2834.155,-5242.644,4065.479
-5534.438,2293.9324,8521.43,376.34027,-6564.1304,340.01443,-3451.7385,7794.86,9733.151,2617.2195,-4481.997,3263.7048
-6029.2417,2183.8264,9189.532,517.24634,-5412.5234,1103.6565,-3166.718,7788.655,9585.166,2509.2583,-3489.977,2733.3967
-5535.2554,1936.2848,9615.435,1777.564,-4118.5513,1673.5782,-2965.1943,7906.9243,9752.485,2171.3428,-2517.7722,2163.99
-4165.6177,1763.1643,9017.129,1903.3981,-2955.2612,1833.9991,-2225.7798,7693.4106,9221.661,1903.6156,-1427.6917,1384.6357
-2839.9153,2060.968,7327.3223,1523.6752,-1394.9891,1367.3348,-1746.0912,7394.316,9322.483,1584.915,-194.41388,269.05972
-2435.837,2321.0132,7145.6343,856.02814,1224.1466,1063.9244,-1177.0183,7356.766,8514.78,888.959,1465.1134,-734.27606
-1910.2516,1769.6929,7751.832,691.17694,3926.7551,950.9353,-1434.4313,7327.0703,8112.8887,-38.331078,3215.166,-2092.849
-2269.6978,1914.5968,7631.172,760.58386,5679.9546,526.4713,-1777.9951,7130.004,8427.476,-818.98285,4221.017,-3430.9675
-2669.5186,1919.3953,7551.5605,711.1599,7204.7134,-44.808125,-2398.0874,7295.348,8390.286,-1497.5608,5045.6787,-4868.481
-3386.2861,1929.9667,7395.973,586.1457,8555.0625,-827.1679,-3203.3076,7202.839,8818.337,-2255.2068,5784.0654,-6044.769
-4689.652,1842.309,7291.9946,987.3356,9562.089,-1599.1267,-4072.5708,7024.8457,8987.79,-2694.3208,5957.7466,-7115.058
-5477.778,2296.771,7060.3994,1053.0032,10883.175,-1685.0295,-4022.1543,7033.0522,8948.044,-3144.2383,6545.264,-8149.1235
-6603.949,2853.3264,7004.0303,1420.226,13386.063,-1103.5873,-4323.949,7329.945,8709.393,-3685.8533,8689.487,-9039.278
-7248.192,2885.4639,6756.3887,1624.136,15216.42,-734.51276,-5952.686,7280.8193,9001.384,-4324.728,10467.714,-9955.374
-8823.972,3148.2,6536.371,2122.2097,15579.41,-1034.4048,-7699.183,6890.7773,9401.773,-4790.4424,10650.206,-10117.441
-10540.774,3806.0186,5017.4844,1995.9657,15653.696,-1220.064,-8758.911,6764.5366,10176.424,-5077.6763,10068.055,-10323.391
-11247.419,3669.556,5224.9775,1235.0007,15312.327,-1665.1631,-9598.924,6905.905,10611.897,-5204.6396,10054.813,-10708.655
-12806.752,3120.019,7123.438,957.66156,14658.57,-2294.1567,-10671.514,7011.8184,11392.342,-4914.896,8752.244,-10448.889
-14627.039,3312.9124,6788.306,1555.2024,13973.557,-2364.4583,-11066.276,6973.635,11473.665,-4675.326,8487.622,-10051.904
-15791.803,3780.7034,6377.203,1682.4359,13810.255,-1472.1228,-11627.839,6925.7476,11774.24,-4569.7905,8679.334,-9369.637
-16010.452,4744.526,5390.514,1529.7122,13981.294,-568.9719,-12409.951,6732.737,11752.109,-4598.678,9098.813,-8376.955
-15971.668,4642.0884,4864.05,376.64075,13234.187,-595.0319,-13269.254,6942.4585,12347.4,-4706.6235,9060.533,-7842.5566
-17350.729,3762.0498,6644.793,-152.34195,10847.0205,-1581.707,-14553.087,6302.6753,12713.616,-4103.2236,7180.9214,-6993.828
-18711.496,3551.138,6164.363,204.94595,8189.202,-1868.7883,-14364.143,6179.4263,12852.801,-3084.817,4581.112,-6059.009
-18121.969,3560.099,5887.472,-155.30164,7453.5127,-885.30115,-13302.81,5705.887,12673.416,-2536.8972,4364.152,-5032.056
-17455.127,3000.5232,6102.3623,-86.71978,7346.5757,-257.70065,-13200.704,5558.113,12490.115,-2194.3198,4437.6597,-4167.6694
-17042.34,3109.272,5330.419,48.315422,5824.8413,-303.9907,-13539.402,5238.438,12470.66,-1996.8217,3640.5933,-3445.6523
-16434.02,2932.62,4581.613,-407.8677,4259.9805,-859.86,-13877.855,4950.4546,12158.044,-1616.5845,2326.5781,-2734.6418
-17707.463,2894.7551,4703.1235,-460.583,2384.46,-921.05945,-13743.311,4476.45,11780.476,-1023.0226,833.0283,-2086.6194
-16974.0,2532.9543,4942.8,-325.6225,1974.2974,-282.07553,-13037.424,4389.047,11535.319,-403.27686,483.60925,-1633.4165
-16258.491,2725.039,4465.6543,-463.09457,1392.4026,279.2722,-12660.308,4515.263,11206.923,-64.60566,1026.8247,-1212.8871
-15470.447,2638.271,4094.038,-105.35334,1165.7897,430.4574,-12909.042,4451.724,10829.403,91.00832,890.3463,-841.77716
-15357.2705,3129.5608,3398.704,-493.1134,-20.712908,228.43484,-13089.672,4291.5464,10757.144,320.5583,74.79147,-434.11737
-15008.787,3059.0857,3226.582,-806.7778,-371.0752,65.89141,-12753.974,4368.6875,10155.47,489.90323,-410.92407,-127.80583
-14401.556,2896.0164,3324.3757,-854.7242,-841.2995,-48.000053,-12529.539,4243.8394,9816.578,503.36163,-769.5965,99.99994
-14082.949,2795.9197,3365.9226,-645.82245,-1020.21893,-65.4562,-12189.61,4264.838,9611.5,541.191,-1036.7369,196.87321
-13780.304,2966.1855,2636.3857,-460.21918,-1043.9896,-86.30696,-11949.918,4015.4211,9592.477,421.8739,-963.32776,178.02126
-13894.614,2843.271,2892.444,-679.94727,-874.78253,-16.888031,-11920.912,3842.9163,9394.297,418.90247,-716.0495,183.37257
-13879.366,2628.345,2983.6914,-645.13855,-812.2476,45.906677,-12042.05,3784.156,9562.365,485.3168,-778.0121,203.39801
-13651.806,2765.606,3084.2507,-686.84875,-1140.7473,-18.856276,-11983.323,3924.1426,9410.666,572.7116,-1008.30914,141.92134
-13642.598,2861.9243,3179.339,-725.5603,-1423.2969,-95.428055,-11918.536,3898.2136,9555.856,551.5744,-1097.511,102.17196
-13597.185,2771.7058,2990.0881,-679.005,-1346.927,-186.54266,-11786.278,4000.135,9567.109,560.69586,-1126.9174,84.87928
-13567.79,2535.0571,3077.3315,-558.1519,-806.2325,-96.514015,-11704.237,3925.4495,9574.544,542.155,-955.11676,13.108125
-13650.535,2351.4163,3268.782,-492.57053,-701.76215,83.60273,-11643.95,3893.048,9376.039,585.1011,-622.12103,-74.296455
-13570.949,2435.7112,3232.0967,-87.8847,-476.71494,109.77757,-11912.964,3930.8347,9819.232,609.13715,-431.2177,-207.58359
-13686.897,2535.4624,3188.4553,-106.57177,-803.8358,-169.60774,-12006.267,3979.3335,9731.108,595.488,-701.7542,-225.26183
-13970.658,2743.2039,3075.264,-34.14531,-664.419,-211.05714,-11978.54,4012.1055,9853.027,619.2172,-830.8504,-225.4647
-13868.017,2766.616,3075.3318,-215.47507,-663.33307,-253.32478,-11706.639,4078.258,9771.39,615.5649,-821.6326,-193.83295
-13542.596,2609.273,3285.9512,-437.70944,-736.0586,-63.281822,-11667.168,4187.374,9545.506,643.6893,-822.62036,-229.74916
-13641.283,2565.1838,3367.5718,-310.4374,-589.2977,34.787586,-11461.16,4094.3945,9849.314,555.32855,-638.45026,-200.60287
-13515.089,2509.1501,3439.9597,-680.822,-553.03955,44.659313,-11481.09,4190.5615,10003.287,578.06323,-466.23947,-292.44095
-13351.91,2376.2961,3669.4705,-249.04349,-424.29013,-49.645985,-11842.174,4133.893,9561.1,544.2989,-473.98944,-294.05133
-13422.793,2505.7183,3493.2908,114.41577,-636.8275,-345.33,-11871.258,4197.0684,9722.42,563.38574,-933.4264,-358.55048
-13755.945,2773.4404,2978.8083,-298.57733,-507.30136,-197.68791,-11296.064,4328.7803,9681.039,555.48944,-749.6407,-355.8835
-13631.164,2667.3035,3176.4321,-392.6001,-257.31317,55.553978,-11567.957,4339.3994,9875.341,433.3804,-270.38947,-289.89114
-13600.704,2482.134,3514.4268,-384.21655,-368.7228,-146.50691,-11909.904,4159.177,9746.772,435.51697,-441.88068,-318.4665
-13627.747,2569.2168,3487.4624,-247.96675,-534.54517,-330.56708,-11939.569,4202.705,9777.9,474.41196,-762.15155,-287.87357
-13984.176,2691.8096,3410.9775,-11.213948,-432.0666,-238.73312,-11662.683,4297.206,9543.321,499.4728,-683.0969,-244.24776
-13737.072,2730.8088,3073.5808,-259.4117,-225.03253,233.58559,-11671.9,4400.046,9780.576,409.23236,-330.51364,-155.85767
-13630.143,2653.7808,3394.369,-564.1957,-109.88996,276.39502,-11726.956,4202.79,9957.638,365.09622,-167.62723,-143.83942
-13357.91,2289.2134,3804.0862,-563.55237,-350.5215,-64.65416,-11726.579,4180.55,9947.953,374.33325,-401.04608,-185.5823
-13615.011,2221.8015,3834.9495,-156.36382,-574.3974,-265.54532,-11658.94,4066.4155,9699.832,456.986,-734.5244,-252.47403
-13701.002,2654.0452,3099.657,18.209637,-228.92348,-10.473133,-11397.66,4129.073,9640.089,468.959,-532.4541,-244.16858
-13693.239,2562.8542,3439.1624,-264.88495,-98.768486,119.461624,-11754.248,4156.3345,9765.604,420.7593,-52.0929,-193.2258
-13612.318,2557.9863,3287.835,-512.5116,-460.1486,-0.49973723,-11969.221,4118.31,9875.62,488.08557,-419.72073,-244.37987
-13725.203,2560.932,3533.2969,-58.638462,-251.15816,-3.7702775,-11728.768,4221.5034,9795.341,456.75894,-456.6485,-194.8439
-13647.361,2486.3005,3466.2988,-125.44552,-456.9396,-52.160244,-11743.922,4150.9766,9769.711,425.33447,-433.49106,-206.25685
-13516.956,2639.6714,3214.7188,-109.08752,-287.10297,-52.46155,-11522.826,4240.8164,9876.595,423.79153,-547.87897,-208.89302
-13648.638,2420.8564,3299.2754,-134.42392,-257.04907,60.60947,-11750.136,4172.3735,9841.893,383.43222,-396.5363,-224.27339
-13696.642,2564.2324,3314.489,-379.15594,-419.83554,26.594574,-11808.772,4048.2651,9873.995,391.9941,-430.18713,-175.6341
-13499.133,2467.8267,3594.2378,-302.84604,-438.4939,-119.39509,-11772.034,4208.077,9886.201,470.46713,-594.4445,-211.12894
-13405.192,2479.1543,3417.9258,-181.49077,-467.4394,-140.84686,-11492.853,4270.766,9887.474,478.3332,-559.559,-230.21597
-13484.012,2674.9888,3155.111,-523.9099,-173.69202,74.0211,-11424.977,4235.091,9699.199,405.6389,-272.69452,-273.62994
-13550.553,2493.8064,3619.376,-494.5038,-17.007328,75.367325,-11822.053,4341.0527,9495.96,450.9628,-163.6584,-298.70007
-13493.35,2495.378,3823.2717,-435.81134,-361.4005,6.2049127,-11732.779,4194.0176,9795.946,432.3275,-480.26883,-327.2352
-13502.152,2593.3738,3319.4578,-141.01082,-80.680145,46.938213,-11451.726,4299.5625,9671.911,380.19543,-307.38333,-362.3123
-13163.254,2494.324,3546.8079,18.2959,-58.544323,-9.378928,-11478.7,4288.986,9683.36,287.90643,-118.06138,-393.45648
-13147.222,2441.2727,3502.365,-104.18695,-190.69017,-319.1201,-11760.255,4225.8433,9759.511,324.241,-491.0725,-471.27023
-13682.355,2760.7915,3182.1233,-96.40454,-255.59525,-374.06638,-11453.675,4220.2563,9723.444,290.05627,-627.62604,-480.468
-14027.889,2643.9072,3092.7864,-160.9271,42.431095,-118.09473,-11740.177,4101.8145,9644.119,215.84438,-232.26926,-387.37695
