ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
1021.68726,3154.4473,15714.635,-258.96573,7.6449194,-499.61627,-1688.237,2987.8403,13206.636,-513.8648,-44.388756,-141.93585
1147.1426,3188.0723,15784.29,-293.99625,-78.65638,-451.74884,-1774.3116,3064.505,12857.614,-514.52277,-90.08678,-60.91656
1195.7079,3236.4285,15975.056,-267.02356,-60.464596,-470.90475,-1721.2894,2950.6055,13126.244,-484.87805,-53.608707,-105.594795
1174.7938,3095.8115,15856.699,-230.97833,47.45594,-492.23776,-1694.0571,2949.1968,12994.062,-415.27863,88.13554,-128.23784
1166.8417,3173.6702,15770.418,-233.77103,-3.1878114,-480.31512,-1726.3165,2985.449,13017.969,-477.19598,54.478855,-131.37082
1030.393,3179.7932,15718.707,-255.7845,-40.03074,-484.77194,-1733.3544,2953.939,13104.966,-455.72043,1.8644598,-142.78989
1255.2025,3177.189,15741.842,-226.29143,33.706245,-506.0401,-1666.6442,2976.9,12971.033,-399.0545,89.09614,-126.78036
1146.4244,3229.2502,15750.062,-222.24062,66.53431,-529.08514,-1719.103,3079.1292,13032.363,-508.27283,11.947114,-143.19539
989.8795,3210.9421,15774.789,-202.91582,6.970981,-506.36795,-1782.4608,3012.3682,13036.913,-531.33167,-138.61465,-103.191376
1217.632,3186.9773,15929.272,-261.88272,-70.83192,-479.16907,-1708.293,2987.7024,13143.936,-473.64816,-94.753914,-110.42709
1229.8909,3164.5317,15756.097,-235.86261,-9.468983,-522.47485,-1689.1488,3059.9163,13047.653,-427.3842,70.516205,-123.5266
1147.2382,3236.5862,15779.851,-231.78983,110.44934,-508.6895,-1644.8209,2980.3445,13166.672,-406.76218,186.92966,-142.89772
1086.0217,3236.269,15763.107,-253.80827,16.586807,-480.00113,-1815.9738,3065.3262,13147.5205,-470.53107,92.87113,-117.162056
1056.8326,3217.982,15870.061,-318.70844,-133.76752,-468.16345,-1811.9392,2895.6565,13023.162,-545.9154,-85.595024,-93.696945
1221.5466,3169.1091,15920.405,-163.38689,-79.70571,-489.91116,-1651.3115,2979.278,12944.709,-507.29907,-119.00072,-111.92153
1230.8837,3030.2422,15831.041,-175.38855,15.218868,-532.2074,-1677.08,3013.493,13046.143,-517.7665,18.800684,-113.69445
1138.5145,3253.34,15798.17,-224.51909,-68.0399,-495.57388,-1663.0804,3108.789,13141.6045,-454.50146,108.37093,-94.47189
1132.7183,3182.8232,15821.993,-289.76627,-46.074547,-471.12033,-1820.1456,3064.8047,13091.26,-457.24442,51.398773,-107.1686
1178.3645,3181.0867,15842.022,-222.04684,-74.3825,-467.56403,-1696.058,2920.6401,12980.169,-452.93777,26.955074,-126.415535
1055.6876,3081.9531,15734.68,-181.88416,-18.059422,-463.57895,-1735.0972,3047.3457,13064.611,-472.6893,-8.316644,-138.56473
1078.6683,3154.024,15802.181,-218.76764,-24.403784,-480.25412,-1796.3442,2945.27,12803.907,-500.25412,-40.47642,-113.0119
1112.9248,3220.8723,15865.986,-256.20355,-15.7800255,-502.77948,-1828.2754,3126.4731,13157.66,-482.30975,-45.771946,-142.04565
1272.7236,3260.9158,15796.919,-162.6861,-19.744072,-541.6035,-1629.3018,3110.5342,13267.666,-467.12317,3.6673992,-185.43546
1177.4191,3219.5522,15794.349,-124.90989,21.264107,-529.89655,-1587.7115,2999.6025,13117.978,-510.87854,108.94799,-125.673325
1121.2765,3180.9807,15771.705,-73.14755,31.488781,-558.6431,-1742.8494,3037.4546,13001.374,-558.5709,24.945663,-117.72557
1005.7833,3183.8215,15789.868,-138.60387,-70.95876,-505.02713,-1934.816,2948.6826,13066.884,-557.43585,-121.879875,-97.18119
1133.9337,3101.8545,15854.771,-96.62824,-142.43965,-481.2204,-1664.9468,2917.0527,12923.812,-519.6434,-129.23695,-79.05623
1211.8525,3229.756,15855.848,-122.035225,-84.09704,-498.5499,-1640.873,3000.7627,12859.304,-455.5373,111.597855,-93.72207
1148.1124,3142.2231,15767.431,-92.01409,-28.069687,-544.30786,-1741.1273,3125.5693,13011.635,-497.19806,117.062614,-121.012825
963.6225,3281.4282,15847.294,-34.966812,-135.07246,-527.70465,-2161.017,2538.3335,13355.924,-459.45166,-215.8933,-247.78647
1314.1157,3255.951,16114.55,234.80496,-292.3689,-488.1008,-1694.0945,2878.7366,12963.236,-440.01154,-94.603294,-162.1017
1249.7526,3098.409,15849.584,383.3599,-40.268524,-556.7059,-1314.8643,3119.5503,12965.558,-506.91068,274.38828,-188.92891
802.7518,3368.8962,15842.648,324.4395,79.0062,-531.028,-1989.527,3085.8254,13182.239,-515.10944,243.89761,-174.99042
868.23676,3309.0823,15707.69,228.30528,-306.4232,-517.3495,-1971.8999,3081.5474,13131.245,-496.03177,-233.2322,-150.93771
